sample,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
1863,6.6,0.28,1.5,7.8,0.049,157,202,high,3.24,0.39,9.5,5,white
1864,7.1,,1.8,2.4,0.042,147,122,medium,3.43,0.61,10.5,6,white
1865,7.6,0.36,2.64,8.3,0.255,152,142,high,3.12,0.43,10.2,6,white
1866,7.6,0.27,1.5,13.9,0.05,165,199,very high,3.34,0.5,9.8,6,white
1867,6.9,0.37,1.68,,0.031,154,137,medium,3.1,0.37,11.6,6,white
1868,,0.21,1.89,7.3,0.031,173,144,medium,3.15,0.38,11.8,7,white
1869,8.2,0.18,1.96,8.5,0.035,175,140,high,3.04,0.37,10.1,7,white
1870,6.3,0.19,1.26,1.8,0.049,153,163,medium,3.31,0.5,10.3,6,white
1871,7,0.21,1.32,5.1,0.048,162,168,medium,3.34,0.49,10.4,6,white
1872,5.8,0.33,1,16.05,0.047,126,166,very high,3.09,0.46,8.9,5,white
1873,5.8,0.33,1,16.05,0.047,132,166,very high,3.09,0.46,8.9,5,white
1874,7.9,0.29,1.55,7.35,0.034,141,154,medium,3.06,0.31,10.8,5,white
1875,6.6,,1.9,,0.058,116,165,very high,3.38,0.6,9.2,5,white
1876,8,0.19,1.8,2,0.053,170,140,medium,3.18,0.49,9.6,6,white
1877,8,0.2,2.16,1.2,0.032,139,78,low,3.08,0.37,10.4,6,white
1878,8,0.25,1.56,14,0.043,163,248,very high,3.03,,8.7,6,white
1879,7.2,0.2,3.66,16.2,0.043,130,103,very high,3.06,0.36,9.2,6,white
1880,7.7,0.3,2.1,14.3,0.045,145,213,very high,3.18,0.63,9.2,5,white
1881,7.2,0.2,3.66,16.2,0.043,128,103,very high,3.06,0.36,9.2,6,white
1882,7.7,0.3,2.1,14.3,0.045,145,213,very high,3.18,0.63,9.2,5,white
1883,7.7,,2.1,14.3,0.045,143,213,very high,3.18,0.63,9.2,5,white
1884,6.4,0.22,1.6,7.9,0.029,140,124,medium,3.4,0.39,10.2,5,white
1885,7.2,0.2,3.66,16.2,0.043,130,103,very high,3.06,0.36,9.2,6,white
1886,,0.53,0.1,1,0.036,139,107,medium,3.2,0.32,9,5,white
1887,7.3,,2.05,13.6,0.05,141,178,very high,3.37,0.43,9.7,5,white
1888,7.2,0.24,2,17.85,0.049,154,185,very high,3.34,0.42,9.6,5,white
1889,,0.15,2,1.3,0.036,124,112,medium,3.14,0.76,10,5,white
1890,7.7,0.3,2.1,14.3,0.045,149,213,very high,3.18,0.63,9.2,5,white
1891,7.6,0.33,2.05,13.7,0.045,142,197,very high,3.18,0.64,9.1,5,white
1892,6.8,0.24,1.55,18.3,0.046,142,142,very high,3.3,0.41,8.7,5,white
1893,,0.24,1.55,18.3,0.046,142,142,very high,3.3,0.41,8.7,5,white
1894,6.8,0.35,2.2,6.5,0.056,127,161,high,3.14,0.44,9.5,5,white
1895,7.9,0.26,1.98,10.3,0.039,197,212,high,2.93,0.49,9.5,6,white
1896,7.5,0.29,4.02,8.1,0.037,173,166,high,2.9,0.41,8.9,6,white
1897,7.5,0.29,4.02,8.1,0.037,177,166,high,2.9,0.41,8.9,6,white
1898,7.2,0.31,2.46,8.6,0.053,135,89,very high,3.29,0.64,9.9,6,white
1899,6.7,0.44,2.17,1.9,0.03,189,104,low,3.29,0.62,12.6,7,white
1900,10,0.23,1.62,14.1,0.033,167,166,very high,2.72,,9.7,6,white
1901,7.4,0.21,1.5,7.9,0.039,116,118,medium,2.96,0.34,10.4,5,white
1902,8.8,0.23,2.1,10.7,0.04,148,183,very high,2.93,0.49,9.1,6,white
1903,7.8,0.34,1.35,1.2,0.04,125,106,medium,3.01,0.55,10.4,5,white
1904,7.9,0.26,1.98,10.3,0.039,191,212,high,2.93,0.49,9.5,6,white
1905,7.5,0.29,4.02,8.1,0.037,173,166,high,2.9,,8.9,6,white
1906,,0.28,1.75,1.9,0.037,118,120,medium,3.16,0.69,10.6,5,white
1907,7.9,0.37,2.1,,0.029,204,158,low,3.12,0.59,12,7,white
1908,7.2,0.36,2.52,5.7,0.038,172,98,low,2.93,0.59,12.5,7,white
1909,7.6,0.13,1.7,9.3,0.062,140,126,high,3.21,0.39,9.6,5,white
1910,6.6,0.25,1.8,8.1,0.045,154,180,,3.08,0.42,9.2,5,white
1911,,0.18,1.56,1.3,0.041,138,71,medium,3.04,0.74,9.9,6,white
1912,7.9,0.3,1.62,8.5,0.036,138,112,medium,2.96,0.46,11.7,6,white
1913,8.3,0.23,1.8,2.1,0.049,139,153,high,3.09,0.5,9.6,6,white
1914,6.8,0.43,1.8,3.5,0.033,143,135,low,3,0.37,12,6,white
1915,,0.36,2.52,5.7,0.038,166,98,low,2.93,0.59,12.5,7,white
1916,6.6,0.25,1.8,8.1,0.045,156,180,high,3.08,0.42,9.2,5,white
1917,7.1,0.18,1.56,1.3,0.041,144,71,medium,3.04,,9.9,6,white
1918,6.6,0.35,1.74,14.4,0.044,174,177,very high,3.17,0.58,8.9,6,white
1919,7.3,0.22,3,13.7,0.049,176,189,very high,3.24,0.66,9,6,white
1920,8.1,0.26,2.31,11.1,0.052,192.5,158,very high,3.03,0.49,10.2,7,white
1921,7.6,0.13,1.7,9.3,0.062,140,126,high,3.21,0.39,9.6,5,white
1922,7,0.12,0.95,4.9,0.055,131,127,high,3.29,0.41,9.4,5,white
1923,8.2,0.37,1.35,1.7,0.028,110,59,low,2.97,0.48,10.4,5,white
1924,7.6,0.26,1.44,,0.032,84,106,medium,3.15,0.4,10.4,4,white
1925,6.3,,3.48,1.4,0.204,135,97,medium,3.16,0.43,10,6,white
1926,6.3,0.22,3.42,1.4,0.208,,96,medium,3.16,0.43,10,6,white
1927,7.1,,1.4,1.6,0.052,148,169,medium,3.05,0.41,10.5,5,white
1928,7,0.27,1.92,6.8,0.047,,193,medium,3.23,0.39,11.4,6,white
1929,8.8,0.34,1.65,9.7,0.036,144,172,high,3.08,0.4,10.2,5,white
1930,9.2,,2.04,10.5,0.043,171,228,very high,3.04,0.41,10.4,6,white
1931,,0.49,0.66,2,0.047,204.5,307.5,medium,3.24,0.37,11,3,white
1932,9.2,0.71,1.38,6.2,0.042,133,93,medium,2.89,0.34,10.1,6,white
1933,7.2,0.47,3.25,8.3,0.083,131,182,high,3,0.35,9.2,5,white
1934,6.8,0.28,2.16,1.6,0.04,143,87,medium,3.23,0.66,10.3,6,white
1935,8.8,0.34,1.65,9.7,0.036,150,172,high,3.08,0.4,10.2,5,white
1936,,0.27,2.04,10.5,0.043,167,228,very high,3.04,0.41,10.4,6,white
1937,7.3,0.13,1.89,4.6,0.08,172,172,medium,3.23,0.39,11.1,7,white
1938,7.2,0.16,1.75,1.2,0.031,,84,medium,3.33,0.34,9.9,5,white
1939,6.8,0.31,1.6,7.6,0.052,137,143,high,3.14,0.38,9,5,white
1940,8.3,0.36,2.85,15,0.052,135,256,very high,2.93,,8.6,5,white
1941,6.8,0.31,1.6,7.6,0.052,137,143,high,3.14,0.38,9,5,white
1942,8.3,0.36,2.85,15,0.052,133,256,very high,2.93,0.64,8.6,5,white
1943,6.3,,2.2,11.6,0.041,144,195,high,3.18,0.52,9.5,5,white
1944,6,0.45,2.1,1.1,0.051,159,197,medium,3.02,0.4,9,5,white
1945,8.1,0.26,1.8,7.8,0.049,155,152,high,2.99,0.58,10,6,white
1946,6.4,0.22,1.92,12,0.066,173,158,very high,3.6,0.43,9,6,white
1947,5.7,0.45,2.1,1.1,0.051,159,197,medium,3.02,0.4,9,5,white
1948,7.2,0.19,2.17,1.4,0.046,177,135,medium,3.34,0.57,10.2,7,white
1949,,0.31,2.2,6.7,0.054,123,160,high,3.04,0.44,9.6,5,white
1950,8,0.25,0.65,17.2,0.036,147,219,very high,2.96,0.46,9.7,5,white
1951,9.9,1.005,1.84,1.4,0.046,,185,high,3.02,0.49,10.2,4,white
1952,8.1,0.31,2.52,8.2,0.028,167,142,medium,3.01,0.34,13,7,white
1953,8.1,0.24,2.28,4.3,0.044,163,172,high,3.37,0.74,10.8,6,white
1954,8,0.25,,17.2,0.036,149,219,very high,2.96,0.46,9.7,5,white
1955,6.4,0.29,1.4,11.1,0.063,166,169,very high,2.89,0.57,9,5,white
1956,7.2,0.15,1.65,1.1,0.027,116,63,medium,3.37,0.4,9.9,5,white
1957,7,0.12,1.92,7.2,0.058,144,89,high,3.29,0.38,9.2,6,white
1958,7.4,0.32,3.3,16.6,0.056,173,238,very high,2.96,0.58,8.7,6,white
1959,8.5,0.17,1.55,1,0.024,113,91,medium,2.79,,10.1,5,white
1960,8.5,0.17,1.55,1,0.024,113,91,medium,2.79,0.37,10.1,5,white
1961,9.5,0.21,2.35,1.3,0.039,119,123,high,2.9,0.64,9.5,5,white
1962,8.2,0.21,2.4,1.4,0.041,113,99,high,3.17,,9.9,5,white
1963,7.4,0.32,3.3,16.6,0.056,175,238,very high,2.96,0.58,8.7,6,white
1964,6.8,0.31,2.1,6.9,0.046,156,173,high,3.19,0.46,9,5,white
1965,6.8,0.27,1.68,13.3,0.076,172,163,very high,3.03,0.38,8.6,6,white
1966,7.4,0.21,1.8,8.1,0.047,135,114,medium,3.12,0.35,10.5,6,white
1967,8,0.23,2.45,9.2,0.044,193,186,very high,3.09,0.56,9.5,7,white
1968,7.6,0.2,1.86,1.4,0.047,159,142,medium,3.43,0.53,10.1,6,white
1969,6.3,0.41,2.1,3.2,0.03,189,164,medium,3.53,0.79,11.7,7,white
1970,,0.49,,2.5,0.036,150,116,medium,3.23,0.47,10.7,6,white
1971,6.3,0.41,2.1,3.2,0.03,189,164,medium,3.53,,11.7,7,white
1972,7.6,0.2,1.3,4.5,0.086,137,133,high,3.15,0.42,9.2,5,white
1973,7.5,0.26,1.3,18.35,0.084,133,139,very high,3.17,0.39,8.8,5,white
1974,7.5,0.26,1.3,18.35,0.084,137,139,very high,3.17,0.39,8.8,5,white
1975,6.8,0.27,2.1,7.8,0.048,194,197,high,3.24,0.43,9.5,6,white
1976,6.8,0.28,1.85,7,0.057,135,208,very high,3.57,0.55,10.2,5,white
1977,8.4,0.2,1.62,6.3,0.048,150,143,high,3.25,0.5,9.1,6,white
1978,7.9,0.33,1.56,1.2,0.044,143,103,medium,3.19,0.54,10.5,6,white
1979,,0.38,3,12.8,0.042,175,184,very high,3.09,0.46,9,6,white
1980,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,0.46,8.9,8,white
1981,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,0.46,8.9,8,white
1982,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,,8.9,8,white
1983,7.6,0.2,2.4,14.2,0.056,219,212.5,very high,3.14,0.46,8.9,8,white
1984,7.6,0.2,2.4,14.2,0.056,213,212.5,very high,3.14,0.46,8.9,8,white
1985,8.1,0.19,3.48,16.65,0.049,164,181,very high,3.2,0.62,9.1,6,white
1986,,0.16,2.46,1.9,0.047,149,151,medium,3.2,0.53,10.1,6,white
1987,8.1,0.22,1.4,7.7,0.043,155,176,high,3.12,,10,5,white
1988,8,0.22,1.92,10.4,0.043,177,201,very high,3.11,0.53,9.5,6,white
1989,7.1,0.33,2.1,3.3,0.034,,102,low,3.08,0.31,12.3,7,white
1990,6.4,0.43,1.08,1.1,0.054,85,110,medium,3.24,0.52,9.1,4,white
1991,7.6,0.2,2.4,14.2,0.056,211,212.5,very high,3.14,0.46,8.9,8,white
1992,7,0.12,1.4,6.3,0.057,115,103,,3.5,,9.6,5,white
1993,,0.3,1.32,5.25,0.053,153,180,medium,3.13,0.45,11.6,6,white
1994,7,0.28,1.98,14.6,0.043,169,168,very high,3.34,0.67,8.8,6,white
1995,8.4,0.2,2.28,11.8,0.055,173,170,very high,3.34,0.82,8.9,6,white
1996,7,0.28,1.98,14.6,0.043,165,168,very high,3.34,0.67,8.8,6,white
1997,8.4,0.2,2.28,,0.055,173,170,very high,3.34,0.82,8.9,6,white
1998,8.4,0.2,2.28,11.8,0.055,173,170,very high,3.34,0.82,8.9,6,white
1999,7.3,0.18,1.86,17.3,0.055,154,197,very high,3.13,,9,6,white
2000,6.8,0.31,0.45,1.4,0.04,160,145,low,3.19,0.46,10,5,white
2001,6.7,0.31,0.4,1.3,0.038,160,147,low,3.18,0.46,10,5,white
2002,7.6,0.17,2.1,1.6,0.047,161,154,medium,3.36,0.69,11.1,6,white
2003,7.4,0.3,1.32,5.25,0.053,151,180,medium,3.13,0.45,11.6,6,white
2004,7.4,,1.86,2.4,0.043,182,178,medium,3.42,0.68,10.6,6,white
2005,7,,1.98,14.6,0.043,167,168,very high,3.34,0.67,8.8,6,white
2006,8.4,0.2,2.28,11.8,0.055,171,170,very high,3.34,0.82,8.9,6,white
2007,5.6,0.18,1.86,1.5,0.038,134,84,medium,3.34,0.58,10.1,6,white
2008,7.2,0.15,1.95,1.8,0.043,127,159,medium,3.52,0.47,10,5,white
2009,8,0.4,2.31,7.7,0.034,165,98,medium,3.18,0.41,12.2,7,white
2010,7,0.25,3.36,2,0.035,140,95,low,3.23,0.53,11,6,white
2011,7.2,0.15,1.95,1.8,0.043,121,159,medium,3.52,,10,5,white
2012,6.8,0.18,2.3,,0.064,141,160,medium,3.37,0.45,11.1,5,white
2013,6.6,0.32,1.32,16.7,0.046,160,133,very high,3.22,0.67,10.4,6,white
2014,9,,1.5,8.1,0.026,116,71,medium,2.94,0.36,11.8,5,white
2015,6.9,0.19,2.34,8,0.028,144,84,medium,3.11,0.66,10.8,6,white
2016,6.3,0.41,2.31,4.7,0.023,170,110,low,3.3,0.38,12.5,7,white
2017,9,0.55,1.5,8.1,0.026,114,71,medium,2.94,,11.8,5,white
2018,7,0.2,2.38,2.1,0.049,154,136,low,3.25,0.46,11.6,7,white
2019,6.6,0.32,1.32,16.7,0.046,160,133,very high,3.22,,10.4,6,white
2020,,0.26,2.04,6.4,0.05,156,163,medium,3.19,,11.5,6,white
2021,6.3,0.21,1.68,1.5,0.051,164,142,medium,3.23,0.42,10.1,6,white
2022,7.6,0.34,2.34,7.6,0.04,171,215,high,3.11,0.53,9.2,6,white
2023,6.3,0.21,1.68,1.5,0.051,170,142,medium,3.23,,10.1,6,white
2024,8,0.43,2,12.4,0.168,125,190,very high,3.07,0.64,9.2,5,white
2025,,0.3,3.55,1.3,0.16,146,149,medium,3.08,,8.9,5,white
2026,6.4,0.26,2,1.7,0.179,109,60,medium,3.09,,10.1,5,white
2027,6.9,0.32,0.75,8.1,0.046,155,180,high,3.13,0.45,8.9,5,white
2028,8.9,0.21,2.04,7.1,0.037,159,150,high,3.1,0.45,9.7,6,white
2029,7.6,0.34,2.34,7.6,0.04,165,215,high,3.11,0.53,9.2,6,white
2030,9.5,0.42,2.46,2.3,0.034,142,145,high,3.06,0.52,11,6,white
2031,7.6,0.29,1.3,6.5,0.042,136,160,medium,3.14,0.47,10.7,5,white
2032,6.5,0.25,1.2,1.4,0.024,153,101,low,3.24,0.54,10.8,6,white
2033,7.2,0.23,1.65,12.7,0.049,152,183,very high,3.41,0.4,9.8,5,white
2034,7.9,0.35,1.8,1.6,0.038,111,124,medium,3.25,0.48,11,5,white
2035,8.8,,1.4,1.1,0.018,118,72,medium,2.97,0.35,10.4,5,white
2036,5.7,0.27,1.92,1.2,0.046,142,155,medium,3.8,0.41,10.2,6,white
2037,,0.29,1.3,6.5,0.042,132,160,medium,3.14,0.47,10.7,5,white
2038,5.5,0.14,1.35,4.6,0.029,122,104,high,3.34,0.44,9,5,white
2039,8.7,0.24,1.75,0.6,0.042,113,71,medium,3.08,0.38,10.6,5,white
2040,6.7,0.3,2.7,10.6,0.032,176,212,very high,3.22,0.59,9.5,6,white
2041,,0.14,1.35,4.6,0.029,122,104,high,3.34,0.44,9,5,white
2042,5.6,0.13,1.62,4.8,0.028,144,104,medium,3.34,0.45,9.2,6,white
2043,7.4,0.18,2.04,2.7,0.03,150,107,low,2.97,0.53,11,6,white
2044,5.7,0.385,0.24,12.6,0.034,146,115,high,3.28,0.63,9.9,6,white
2045,8.7,0.24,1.75,0.6,0.042,115,71,medium,3.08,0.38,10.6,5,white
2046,8.3,0.33,2.15,9.2,0.046,122,126,very high,3.38,0.47,9.3,5,white
2047,6.8,0.34,2.2,6.6,0.052,128,156,high,3.14,0.41,9.6,5,white
2048,6.8,0.33,2.2,7,0.05,129,155,high,3.14,0.42,9.5,5,white
2049,6.3,0.28,1.68,8.45,0.031,172,172,high,3.39,0.57,9.7,7,white
2050,11.8,0.23,1.14,11.1,0.034,77,123,very high,2.93,0.55,9.7,3,white
2051,6.8,0.21,1.35,18.15,0.042,139,146,very high,3.3,0.36,8.7,5,white
2052,6.8,0.21,1.35,18.15,0.042,143,146,very high,3.3,0.36,8.7,5,white
2053,8.6,0.485,1.45,4.1,0.026,119,101,low,3.01,,12.4,5,white
2054,8.6,0.485,1.45,4.1,0.026,121,101,low,3.01,0.38,12.4,5,white
2055,7.3,0.29,1.74,4.6,0.029,141,155,medium,3.07,0.26,10.6,6,white
2056,6.8,0.21,1.35,18.15,0.042,143,146,very high,3.3,,8.7,5,white
2057,,0.31,,4.9,0.031,152,151,medium,3.36,0.82,12,7,white
2058,7.3,0.29,1.85,8.3,0.044,151,227,high,3.12,0.47,9,5,white
2059,5.7,0.46,2.3,1.4,0.04,131,169,medium,3.13,0.47,8.8,5,white
2060,6.8,0.28,2.2,11.5,0.04,158,223,high,3.22,0.56,9.5,5,white
2061,6.7,0.23,1.98,1.8,0.036,145,96,medium,3.32,0.4,10.8,6,white
2062,6.9,0.17,1.25,1.6,0.047,130,132,low,3.16,0.48,11.4,5,white
2063,7.6,0.18,1.8,2.4,0.049,142,123,high,3.6,0.46,10.3,5,white
2064,6.6,0.22,1.68,4.9,0.042,169,180,high,3.3,0.75,9.5,6,white
2065,7.8,0.27,1.4,1.8,0.05,123,127,medium,3.15,0.44,9.9,5,white
2066,7.7,0.28,1.45,4.3,0.051,129,142,medium,3.16,0.39,10.2,5,white
2067,7.6,0.29,1.45,4.4,0.051,134,146,medium,3.16,0.39,10.2,5,white
2068,5.7,0.32,1.08,1.4,0.029,,104,low,3.44,0.37,11,6,white
2069,7.1,0.33,1.75,1.6,0.03,167,126,low,3.22,0.34,12.1,7,white
2070,7.3,,1.8,1.3,0.057,145,173,medium,3.26,0.51,9.1,6,white
2071,,0.19,1.56,5.2,0.04,151,140,high,3.26,0.68,9.5,6,white
2072,6.6,0.23,1.35,5.6,0.043,149,164,high,3.27,0.76,9.5,5,white
2073,6.6,0.27,1.45,5.3,0.045,157,189,high,3.31,0.79,9.8,5,white
2074,6.6,0.22,1.68,4.9,0.042,169,180,high,3.3,0.75,9.5,6,white
2075,7.6,0.18,1.8,2.4,0.049,136,123,high,3.6,,10.3,5,white
2076,6.8,0.36,1.6,1.6,0.039,112,124,medium,3.3,0.67,9.6,5,white
2077,7,0.22,2.34,2.1,0.055,159,198,high,3.52,0.54,10.2,6,white
2078,5.9,0.17,1.8,1.4,0.042,143,119,medium,3.68,0.72,10.5,6,white
2079,7.4,0.45,1.28,7.1,0.044,101,117,high,3.32,0.41,10.4,4,white
2080,6.8,0.36,1.6,1.6,0.039,112,124,medium,3.3,0.67,9.6,5,white
2081,7.5,0.42,0.7,10.7,0.046,114,95,high,3.22,0.33,10.7,5,white
2082,7.5,0.33,1.92,11.1,0.036,143,119,high,3.15,0.34,10.5,6,white
2083,9.4,0.3,1.6,10.7,0.029,114,111,high,2.85,0.42,10.6,5,white
2084,7.9,0.17,1.92,1.6,0.053,161,150,medium,3.29,,9.6,6,white
2085,7.9,0.17,1.92,1.6,0.053,165,150,medium,3.29,0.76,9.6,6,white
2086,8.2,0.17,1.6,1.5,0.05,119,101,medium,3.14,0.58,9.5,5,white
2087,8.3,0.17,1.86,1.5,0.049,166,153,medium,3.12,0.58,9.4,6,white
2088,8.7,0.15,1.8,1.6,0.046,147,130,medium,3.22,0.38,9.8,6,white
2089,7.9,,1.92,1.6,0.053,173,150,medium,3.29,0.76,9.6,6,white
2090,7.2,0.25,0.95,8,0.044,149,172,high,3.16,0.44,9.2,5,white
2091,7.2,0.24,0.95,7.7,0.045,155,176,high,3.17,0.38,9.5,5,white
2092,5.3,0.76,0.15,2.7,0.043,129,93,medium,3.34,0.38,9.2,5,white
2093,,0.22,2.65,15.1,0.052,126,136,very high,2.94,0.35,9.4,5,white
2094,6.6,0.22,2.65,15.1,0.052,122,136,very high,2.94,0.35,9.4,5,white
2095,,,2,8.9,0.048,137,146,very high,3.4,0.46,9.3,5,white
2096,6.8,0.32,1.7,6,0.05,105,129,high,3.19,0.4,9.1,5,white
2097,6.7,0.24,1.65,12.3,0.046,131,145,very high,3.36,0.4,9.5,5,white
2098,7.4,0.18,2.16,13.1,0.056,190,163,very high,3.42,0.35,9.1,6,white
2099,6,0.16,1.5,6.7,0.043,139,153,high,3.63,0.46,10.6,5,white
2100,6.7,0.24,1.65,12.3,0.046,139,145,very high,3.36,0.4,9.5,5,white
2101,6.8,0.28,2.1,2.3,0.042,134,85,low,3.19,0.56,12.4,6,white
2102,6.2,0.34,1.5,11.1,0.047,128,237,very high,3.18,0.49,8.7,5,white
2103,6,0.27,0.75,1.5,0.056,,128,medium,3.12,0.45,8.8,5,white
2104,6,0.16,1.5,6.7,0.043,141,153,high,3.63,0.46,10.6,5,white
2105,6.8,0.32,1.7,6,0.05,99,129,high,3.19,0.4,9.1,5,white
2106,8.5,0.24,2.35,15.2,0.057,140,234,very high,3.02,0.66,9,5,white
2107,8.1,0.24,1.98,10.2,0.048,170,141,very high,3.16,0.48,10.3,6,white
2108,7.4,0.18,2.16,13.1,0.056,188,163,very high,3.42,0.35,9.1,6,white
2109,7.7,0.23,1.86,10.7,0.038,179,186,high,3.12,0.55,9.5,6,
2110,6.5,0.22,1.25,17.1,0.05,142,138,very high,3.3,0.37,8.8,5,white
2111,,0.22,1.25,17.1,0.05,144,138,very high,3.3,0.37,8.8,5,white
2112,,0.22,1.25,17.1,0.05,142,138,very high,3.3,0.37,8.8,5,white
2113,5.7,0.33,0.75,1.9,0.05,114,93,medium,3.38,0.62,9.9,5,white
2114,7.7,0.23,1.86,10.7,0.038,,186,high,3.12,0.55,9.5,6,white
2115,6.5,0.22,1.25,17.1,0.05,144,138,very high,3.3,0.37,8.8,5,white
2116,6.8,0.2,1.08,1.2,0.034,103,68,low,3.14,,11.7,4,white
2117,7.7,0.26,1.6,1.2,0.04,126,117,medium,3.21,0.56,10.8,5,white
2118,6.4,0.2,1.92,3.1,0.041,134,126,low,3.43,0.42,12,6,white
2119,8,0.16,1.44,1.5,0.033,96,122,medium,3.2,0.39,10.3,4,white
2120,6.8,0.25,1.35,10.7,0.076,143,154,high,3.05,0.38,9,5,white
2121,7.7,0.39,1.96,4.9,0.035,,109,low,3.19,0.58,12.2,7,white
2122,6.9,0.26,1.65,12.6,0.051,159,173,very high,3.39,0.38,9.9,5,white
2123,,0.25,1.35,10.7,0.076,147,154,high,3.05,0.38,9,5,white
2124,,0.39,1.96,4.9,0.035,178,109,low,3.19,,12.2,7,white
2125,6,0.28,1.1,12.15,0.048,140,163,high,3.2,0.46,10.1,5,white
2126,6.5,0.43,1.4,12,0.056,123,174,very high,3.31,0.55,9.3,5,white
2127,,0.33,1.9,1.7,0.062,154.5,344,high,3.1,0.7,9.5,5,white
2128,5.9,0.5,0.3,2.6,0.054,152,146,medium,3.43,0.5,9.2,6,white
2129,6.8,0.28,1.95,1.4,0.036,113,115,low,3.27,0.72,11.7,5,white
2130,7,0.35,1.2,1.9,0.04,115,144,low,3.35,,11,5,white
2131,7.1,0.22,1.92,16.9,0.056,171,158,very high,3.37,,9.6,6,white
2132,7.1,0.22,1.92,16.9,0.056,175,158,very high,3.37,0.38,,6,white
2133,8.3,0.24,1.62,2.1,0.03,140,162,low,2.99,0.68,11.9,6,white
2134,6.8,0.26,1.92,7,0.041,158,118,medium,3.25,0.52,10.8,6,white
2135,7.2,0.16,1.3,7.1,0.054,143,224,high,3.38,0.55,10.1,5,white
2136,7.9,0.18,2.16,5.9,0.058,149,132,high,3.25,0.52,10.9,6,white
2137,,0.16,1.3,7.1,0.054,141,224,high,3.38,0.55,10.1,5,white
2138,5.5,0.24,1.6,8.7,0.06,123,102,medium,3.27,0.31,10.4,5,white
2139,7.1,0.33,3.2,13.2,0.056,114,105,very high,3.05,0.39,9.2,5,white
2140,7.7,0.28,1.75,15.3,0.056,123,117,very high,3.27,,9.6,5,white
2141,7.7,0.28,1.75,15.3,0.056,127,117,very high,3.27,0.5,9.6,5,white
2142,7.5,0.26,2.6,13.2,0.047,166,179,very high,3.1,0.46,2.8,5,white
2143,6.5,0.14,2.24,2.7,0.037,164,89,medium,3.4,0.74,11.5,7,
2144,8.2,0.21,1.92,10.65,0.053,177,145,very high,3.17,0.48,10.2,6,white
2145,7.2,0.2,1.86,10,0.054,167,165,very high,3.4,0.42,9.9,6,white
2146,7.2,0.115,1.8,6.8,0.056,,105,high,3.44,0.4,9.6,6,white
2147,6.4,0.29,1,15.6,0.04,120,142,high,3.1,0.54,10.6,5,white
2148,7.1,0.33,3.2,13.2,0.056,114,105,very high,3.05,0.39,9.2,5,white
2149,6.8,0.24,2.04,5.1,0.038,153,99,low,3.24,0.46,11.8,6,white
2150,7,0.24,2.04,3,0.035,154,102,low,3.18,0.43,12.2,6,white
2151,7.7,0.28,1.75,15.3,0.056,135,117,very high,3.27,,9.6,5,white
2152,7,0.22,1.98,2.1,0.052,133,76,medium,3.2,0.41,10.6,6,white
2153,7.5,0.18,2.34,1.9,0.054,147,91,medium,3.27,0.45,10.3,6,white
2154,9.8,0.93,1.8,8.6,0.052,116,187,very high,3.12,0.59,10.2,4,white
2155,7.8,0.29,1.65,8.75,0.035,135,181,high,3.11,0.46,10.7,5,white
2156,7.9,0.28,1.28,3.6,0.038,91,76,low,3.05,0.31,11.7,4,white
2157,8.5,0.25,1.62,4.7,0.031,149,92,low,3.01,0.33,12,6,white
2158,7.4,0.18,1.62,1.3,0.048,148,105,,3.52,,10.6,6,white
2159,6.3,0.24,1.48,1.8,0.031,86,61,low,3.3,0.34,12.2,4,white
2160,6,,2.28,9.7,0.04,143,124,high,3.47,0.48,11,6,white
2161,6.8,0.37,1.96,4,0.03,175,79,low,3.23,0.46,12.4,7,white
2162,9.9,0.49,1.38,2.4,0.087,137,115,medium,2.77,0.44,9.4,6,white
2163,8.5,0.25,1.62,4.7,0.031,155,92,low,3.01,0.33,12,6,white
2164,8.4,,1.4,18.8,0.028,157,130,very high,2.96,0.35,11.6,5,white
2165,7,0.35,1.55,1.8,0.069,117,162,medium,3.18,0.47,9.4,5,white
2166,7,0.35,1.55,1.8,0.069,117,162,medium,3.18,0.47,9.4,5,white
2167,7.4,0.19,2.1,12.8,0.053,190.5,229,very high,3.14,0.49,9.1,7,white
2168,7.4,0.19,2.1,12.8,0.053,186.5,229,very high,3.14,0.49,9.1,7,white
2169,7.4,0.19,2.1,12.8,0.053,184.5,229,very high,3.14,0.49,9.1,7,white
2170,7.4,0.19,2.1,12.8,0.053,188.5,229,very high,3.14,0.49,9.1,7,white
2171,7.4,0.19,2.1,12.8,0.053,190.5,229,very high,3.14,0.49,9.1,7,white
2172,6.9,,0.65,7.8,0.042,109,117,high,3.23,0.37,9.2,5,white
2173,7.6,0.32,2.9,16.75,0.05,145,163,very high,3.15,0.54,9.2,5,white
2174,7.4,0.19,2.1,12.8,0.053,186.5,229,very high,3.14,0.49,9.1,7,white
2175,,0.19,2.1,12.8,0.053,186.5,212,very high,3.14,0.49,9.1,7,white
2176,6.9,0.32,0.65,7.8,0.042,109,117,high,3.23,0.37,9.2,5,white
2177,6,,1.68,5.4,0.06,165,126,high,3.25,0.44,,7,white
