,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind,kind_num,density_num
1222,7.364,0.28,2.34,1.2,0.038,143.0,115.0,medium,3.16,0.67,10.0,6,white,0.0,2.0
1223,8.0,0.28,2.1,7.1,0.045,141.0,169.0,high,3.17,0.43,10.6,5,white,0.0,3.0
1224,7.2,0.23,2.73,2.3,0.033,171.0,102.0,low,3.26,0.54,12.3,7,white,0.0,1.0
1225,6.8,0.32,2.22,3.4,0.023,135.0,87.0,low,3.14,0.53,12.7,6,nan,,1.0
1226,7.2,0.23,2.73,2.3,0.033,171.0,102.0,low,3.26,0.54,12.3,7,white,0.0,1.0
1227,6.9,0.398,1.9,6.5,0.039,120.0,110.0,medium,3.1,0.42,10.5,5,nan,,2.0
1228,9.4,0.26,3.18,1.2,0.047,143.0,109.0,low,3.23,0.28,12.5,6,white,0.0,1.0
1229,8.3,0.33,1.26,1.15,0.033,78.0,96.0,low,3.2,0.32,12.4,3,white,0.0,1.0
1230,7.3,0.29,1.8,13.0,0.043,168.0,238.0,very high,3.06,0.41,8.7,6,white,0.0,4.0
1231,7.9,0.381,2.59,4.5,0.03,184.0,114.0,low,3.17,0.54,12.4,7,white,0.0,1.0
1232,7.343,0.44,2.59,5.85,0.033,167.0,93.0,low,3.16,0.54,12.6,7,white,0.0,1.0
1233,7.359,0.39,1.8,5.2,0.037,147.0,131.0,medium,3.38,0.44,11.0,6,white,0.0,2.0
1234,7.675,0.26,1.86,1.3,0.043,165.0,155.0,medium,3.42,0.5,10.1,6,white,0.0,2.0
1235,7.8,0.32,1.55,1.7,0.036,146.0,195.0,medium,3.03,0.48,10.5,5,white,0.0,2.0
1236,6.8,0.352,2.22,3.4,0.023,141.0,87.0,low,3.14,0.53,12.7,6,white,0.0,1.0
1237,7.553,0.24,1.95,3.6,0.024,135.0,116.0,medium,3.17,0.51,10.9,5,white,0.0,2.0
1238,7.1,0.44,2.59,2.7,0.041,179.0,128.0,low,3.07,0.43,13.5,7,white,0.0,1.0
1239,10.3,0.25,2.4,2.2,0.042,130.0,164.0,very high,3.19,0.58,9.7,5,white,0.0,4.0
1240,7.9,0.14,1.68,1.8,0.041,164.0,178.0,high,3.45,0.43,9.2,6,white,0.0,3.0
1241,7.4,0.362,2.94,2.1,0.036,173.0,187.0,medium,3.4,0.41,10.6,7,white,0.0,2.0
1242,7.304,0.43,2.94,6.6,0.033,174.0,141.0,low,2.98,0.39,13.3,7,white,0.0,1.0
1243,7.1,0.397,2.59,2.7,0.041,179.0,128.0,low,3.07,0.43,13.5,7,white,0.0,1.0
1244,6.4,0.26,1.1,5.1,0.037,123.0,131.0,medium,3.29,0.32,10.1,5,white,0.0,2.0
1245,8.0,0.66,2.88,17.55,0.042,142.0,233.0,very high,2.92,0.68,9.4,4,white,0.0,4.0
1246,8.0,0.2,2.8,5.2,0.055,185.0,167.0,high,3.18,0.4,10.6,7,white,0.0,3.0
1247,7.2,0.21,2.04,1.1,0.046,145.0,80.0,low,3.25,0.4,11.3,6,white,0.0,1.0
1248,7.2,0.18,2.17,1.1,0.045,160.0,73.0,medium,3.32,0.4,10.8,7,white,0.0,2.0
1249,8.4,0.405,2.2,10.7,0.051,146.0,195.0,very high,3.15,0.51,10.4,5,white,0.0,4.0
1250,5.3,0.26,1.61,5.15,0.034,190.0,160.0,high,3.24,0.51,10.5,7,white,0.0,3.0
1251,5.7,0.245,1.65,1.1,0.049,130.0,150.0,medium,3.13,0.42,9.3,5,white,0.0,2.0
1252,5.6,0.41,1.92,1.1,0.047,144.0,152.0,medium,3.12,0.42,9.3,6,white,0.0,2.0
1253,7.3,0.25,2.87,1.8,0.037,190.0,165.0,low,3.29,0.39,12.2,7,white,0.0,1.0
1254,7.0,0.16,3.65,1.0,0.138,158.0,150.0,medium,3.08,0.3,9.2,5,white,0.0,2.0
1255,7.476,0.22,2.04,1.8,0.057,151.0,104.0,high,3.293,0.57,10.3,6,white,0.0,3.0
1256,7.3,0.18,3.9,1.4,0.046,148.0,157.0,medium,3.33,0.62,9.4,6,white,0.0,2.0
1257,6.4,0.17,1.62,6.7,0.036,212.0,223.0,medium,3.28,0.35,10.2,6,white,0.0,2.0
1258,6.9,0.29,0.96,6.8,0.034,187.0,212.0,high,3.08,0.39,9.0,6,white,0.0,3.0
1259,7.596,0.391,2.28,6.8,0.036,182.0,245.0,high,3.06,0.538,9.3,6,white,0.0,3.0
1260,6.4,0.23,1.8,7.1,0.037,185.0,236.0,high,3.06,0.34,9.2,6,white,0.0,3.0
1261,7.3,0.19,4.08,1.5,0.05,149.0,156.0,medium,3.32,0.64,9.4,6,white,0.0,2.0
1262,7.3,0.18,3.9,1.4,0.046,148.0,157.0,medium,3.33,0.62,9.4,6,white,0.0,2.0
1263,9.6,0.29,2.76,1.45,0.039,197.5,223.0,medium,2.92,0.46,9.5,6,white,0.0,2.0
1264,7.2,0.14,1.75,1.2,0.036,150.257,73.0,medium,3.46,0.39,9.9,5,white,0.0,2.0
1265,6.9,0.31,2.38,7.4,0.059,180.0,174.0,high,3.46,0.62,10.864,7,white,0.0,3.0
1266,7.5,0.28,2.72,4.2,0.028,192.0,116.0,low,2.99,0.41,12.3,8,white,0.0,1.0
1267,8.0,0.22,2.94,14.6,0.044,185.0,163.0,very high,3.21,0.69,8.6,7,white,0.0,4.0
1268,7.6,0.34,1.45,10.5,0.04,121.0,145.0,high,3.04,0.35,9.4,5,white,0.0,3.0
1269,8.4,0.35,3.36,13.8,0.048,173.0,190.0,very high,3.07,0.58,9.4,6,white,0.0,4.0
1270,8.0,0.412,2.94,14.6,0.044,185.0,163.0,nan,3.21,0.69,8.6,7,white,0.0,
1271,8.1,0.5,2.35,1.1,0.037,123.0,126.0,medium,3.21,0.42,10.9,5,white,0.0,2.0
1272,7.0,0.39,1.55,5.3,0.069,126.0,162.0,high,3.2,0.48,9.4,5,white,0.0,3.0
1273,8.1,0.5,2.35,1.1,0.037,123.0,126.0,medium,3.21,0.42,10.9,5,white,0.0,2.0
1274,7.471,0.35,3.36,13.8,0.048,179.0,190.0,very high,3.07,0.58,9.4,6,white,0.0,4.0
1275,6.2,0.22,1.62,1.5,0.064,142.0,132.0,medium,3.22,0.605,9.2,6,white,0.0,2.0
1276,8.0,0.22,2.94,14.6,0.044,191.0,163.0,very high,3.21,0.69,8.6,7,white,0.0,4.0
1277,7.6,0.31,1.45,10.5,0.04,117.0,145.0,high,3.04,0.591,9.4,5,white,0.0,3.0
1278,7.0,0.24,2.03,4.9,0.083,124.0,133.0,medium,3.33,0.37,10.8,6,white,0.0,2.0
1279,6.6,0.27,1.8,1.9,0.025,134.0,153.0,medium,3.29,0.62,10.5,6,white,0.0,2.0
1280,7.8,0.16,2.46,1.7,0.026,151.238,140.0,low,3.02,0.78,12.5,6,white,0.0,1.0
1281,7.7,0.27,2.38,1.8,0.028,170.0,168.0,low,2.99,0.48,12.1,7,white,0.0,1.0
1282,7.4,0.31,3.7,10.7,0.039,153.0,147.0,very high,3.02,0.43,8.7,5,white,0.0,4.0
1283,8.0,0.45,2.88,8.8,0.026,202.0,151.0,medium,3.07,0.25,12.7,8,white,0.0,2.0
1284,7.7,0.27,2.38,1.8,0.028,166.0,168.0,low,2.99,0.48,12.1,7,white,0.0,1.0
1285,7.8,0.16,2.46,1.7,0.026,158.541,140.0,low,3.02,0.78,12.5,6,white,0.0,1.0
1286,6.6,0.16,2.077,1.8,0.05,180.0,147.0,low,3.06,0.44,11.4,7,white,0.0,1.0
1287,8.3,0.21,2.8,1.6,0.032,177.0,110.0,low,3.02,0.6,12.9,7,white,0.0,1.0
1288,7.2,0.32,2.31,1.4,0.029,167.0,109.0,low,3.15,0.575,12.8,7,white,0.0,1.0
1289,7.248,0.16,1.8,1.6,0.034,135.0,78.0,low,3.38,0.44,11.2,6,white,0.0,1.0
1290,8.4,0.16,1.98,1.5,0.033,136.0,98.0,medium,3.14,0.42,9.7,6,white,0.0,2.0
1291,7.5,0.23,1.92,9.2,0.038,178.0,191.0,high,3.04,0.56,9.7,6,white,0.0,3.0
1292,6.2,0.377,1.8,1.1,0.037,134.0,79.0,medium,3.5,0.54,10.3,6,white,0.0,2.0
1293,6.9,0.39,0.88,4.3,0.03,90.0,102.0,medium,3.0,0.87,11.6,4,white,0.0,2.0
1294,6.9,0.41,0.88,4.2,0.031,88.0,102.0,medium,3.0,0.86,11.6,4,white,0.0,2.0
1295,7.5,0.23,1.92,9.2,0.038,174.0,191.0,high,3.04,0.56,9.7,6,white,0.0,3.0
1296,7.5,0.38,1.98,5.0,0.045,144.0,131.0,medium,3.32,0.44,10.9,6,white,0.0,2.0
1297,7.3,0.42,2.66,6.8,0.045,165.0,122.0,medium,3.19,0.37,12.6,7,white,0.0,2.0
1298,7.3,0.34,2.34,5.2,0.04,163.0,163.0,medium,3.3,0.47,12.4,6,white,0.0,2.0
1299,7.841,0.23,1.4,4.75,0.042,149.0,166.0,medium,2.96,0.4,11.5,5,white,0.0,2.0
1300,9.0,0.245,2.28,5.9,0.045,176.0,159.0,high,2.93,0.35,10.2,6,white,0.0,3.0
1301,6.9,0.2,2.0,7.7,0.032,149.0,176.0,medium,3.22,0.27,11.4,5,white,0.0,2.0
1302,7.4,0.19,2.52,6.4,0.067,161.0,212.0,high,3.3,0.33,9.6,6,nan,,3.0
1303,8.2,0.2,2.16,8.1,0.035,176.0,163.0,high,3.05,0.3,10.3,6,white,0.0,3.0
1304,8.0,0.59,3.55,17.35,0.038,161.0,228.0,very high,2.95,0.75,9.3,5,white,0.0,4.0
1305,7.9,0.14,3.15,1.8,0.05,155.0,114.0,medium,3.33,0.49,10.7,7,white,0.0,2.0
1306,6.8,0.24,3.2,1.8,0.047,196.0,105.0,low,3.13,0.49,12.8,8,white,0.0,1.0
1307,9.7,0.14,2.0,1.5,0.049,125.0,142.0,high,2.98,0.62,9.5,5,white,0.0,3.0
1308,9.2,0.15,4.08,1.6,0.046,142.0,130.0,medium,3.02,0.45,10.4,6,white,0.0,2.0
1309,9.4,0.17,3.3,1.6,0.049,136.0,94.0,high,3.02,0.61,10.3,6,white,0.0,3.0
1310,5.2,0.365,0.48,13.5,0.041,159.0,142.0,very high,3.46,0.39,9.9,6,white,0.0,4.0
1311,6.3,0.23,1.32,3.75,0.039,157.0,116.0,medium,3.23,0.5,10.7,6,white,0.0,2.0
1312,9.6,0.25,2.7,1.3,0.04,118.0,160.0,medium,2.94,0.43,10.5,5,white,0.0,2.0
1313,9.2,0.32,2.1,1.3,0.046,122.0,186.0,high,3.08,0.48,9.6,5,white,0.0,3.0
1314,7.769,0.31,2.4,6.2,0.04,162.0,169.0,high,3.15,0.46,9.3,6,white,0.0,3.0
1315,8.1,0.2,2.16,9.7,0.044,185.0,162.0,very high,3.1,0.46,10.0,6,white,0.0,4.0
1316,7.9,0.255,1.56,2.0,0.026,164.0,190.0,medium,3.04,0.39,11.2,6,white,0.0,2.0
1317,7.38,0.15,1.7,1.4,0.039,125.0,177.0,medium,3.32,0.62,10.8,5,white,0.0,2.0
1318,6.4,0.15,1.86,1.1,0.044,141.0,96.0,medium,3.54,0.51,10.3,6,white,0.0,2.0
1319,6.4,0.25,2.65,6.6,0.038,155.0,234.0,high,3.03,0.42,8.8,5,white,0.0,3.0
1320,7.6,0.19,2.52,1.5,0.044,130.0,114.0,low,3.04,0.74,12.8,6,white,0.0,1.0
1321,7.3,0.43,2.22,4.6,0.028,143.0,114.0,low,3.23,0.43,13.2,6,white,0.0,1.0
1322,5.1,0.31,1.8,0.9,0.037,146.0,152.0,low,3.54,0.56,10.1,6,white,0.0,1.0
1323,7.475,0.2,1.3,1.7,0.093,136.0,161.0,medium,3.44,0.66,11.0,5,white,0.0,2.0
1324,6.9,0.16,2.1,1.3,0.043,137.0,182.0,medium,3.25,0.62,10.8,6,white,0.0,2.0
1325,7.7,0.32,3.36,2.3,0.04,166.0,114.0,low,3.2,0.52,12.8,7,white,0.0,1.0
1326,6.5,0.22,4.32,6.8,0.042,151.0,168.0,high,3.12,0.36,9.2,6,white,0.0,3.0
1327,6.8,0.26,1.98,1.5,0.047,166.0,167.0,medium,3.12,0.44,10.5,6,white,0.0,2.0
1328,7.607,0.37,1.98,1.2,0.028,135.0,81.0,low,3.37,0.38,11.7,6,white,0.0,1.0
1329,8.4,0.19,2.15,2.1,0.052,122.0,104.0,medium,2.85,0.46,9.5,5,white,0.0,2.0
1330,8.3,0.21,2.05,2.2,0.05,124.0,108.0,medium,2.85,0.45,9.5,5,white,0.0,2.0
1331,6.8,0.15,1.92,8.8,0.058,148.0,110.0,very high,3.4,0.4,8.8,6,white,0.0,4.0
1332,7.9,0.16,4.48,17.0,0.05,211.0,210.0,very high,3.15,0.51,9.3,7,white,0.0,4.0
1333,7.8,0.21,3.12,1.8,0.034,222.0,180.0,low,3.09,0.75,12.6,8,white,0.0,1.0
1334,9.0,0.24,3.0,1.2,0.048,148.0,107.0,low,3.21,0.34,12.4,6,white,0.0,1.0
1335,5.7,0.21,1.44,2.3,0.047,182.0,189.0,high,3.65,0.72,10.1,6,white,0.0,3.0
1336,7.8,0.29,2.88,5.849,0.042,198.0,161.0,nan,3.26,0.37,11.2,8,white,0.0,
1337,6.7,0.18,1.5,6.4,0.048,144.0,251.0,high,3.29,0.52,10.0,5,white,0.0,3.0
1338,6.7,0.18,1.5,6.4,0.048,138.0,251.0,high,3.29,0.52,10.0,5,white,0.0,3.0
1339,8.4,0.58,1.62,12.15,0.033,157.0,116.0,high,2.99,0.39,10.8,6,white,0.0,3.0
1340,7.2,0.16,1.92,0.8,0.04,170.0,121.0,low,3.27,0.557,10.0,6,white,0.0,1.0
1341,7.6,0.54,1.15,2.0,0.029,113.0,151.0,medium,3.04,0.33,10.4,5,white,0.0,2.0
1342,8.4,0.58,1.62,12.15,0.033,157.0,116.0,high,2.99,0.59,10.8,6,white,0.0,3.0
1343,6.6,0.25,1.86,12.4,0.059,176.0,181.0,very high,3.51,0.47,9.8,6,white,0.0,4.0
1344,7.3,0.23,2.96,1.9,0.041,207.0,165.0,low,3.26,0.4,12.2,8,white,0.0,1.0
1345,7.3,0.39,2.96,1.1,0.043,196.0,113.0,low,3.39,0.546,12.7,8,white,0.0,1.0
1346,7.0,0.46,2.73,6.2,0.039,182.0,163.0,medium,3.21,0.557,12.2,7,white,0.0,2.0
1347,7.682,0.35,2.8,6.3,0.039,171.0,162.0,medium,3.15,0.538,11.9,7,white,0.0,2.0
1348,7.8,0.29,2.88,7.0,0.042,202.0,161.0,medium,3.26,0.37,11.2,8,white,0.0,2.0
1349,7.639,0.35,1.56,0.9,0.042,99.0,61.0,medium,2.96,0.28,10.4,4,white,0.0,2.0
1350,8.0,0.57,2.73,3.9,0.034,158.0,122.0,low,3.29,0.67,12.8,7,white,0.0,1.0
1351,6.5,0.37,2.31,3.9,0.027,184.0,130.0,low,3.28,0.39,12.7,7,white,0.0,1.0
1352,7.803,0.21,1.44,2.3,0.047,180.0,189.0,high,3.65,0.72,10.1,6,white,0.0,3.0
1353,6.7,0.18,1.5,6.4,0.048,142.0,251.0,high,3.29,0.52,10.0,5,white,0.0,3.0
1354,7.8,0.418,1.5,1.8,0.04,147.0,179.0,nan,3.43,0.41,9.0,5,white,0.0,
1355,7.6,0.19,2.05,1.1,0.04,136.0,143.0,low,2.92,0.42,11.4,5,white,0.0,1.0
1356,7.3,0.22,2.46,15.4,0.05,177.0,191.0,very high,3.32,0.59,8.9,6,white,0.0,4.0
1357,6.3,0.29,2.4,6.5,0.039,163.0,167.0,high,3.15,0.44,9.3,6,white,0.0,3.0
1358,6.8,0.35,2.56,2.4,0.048,193.0,103.0,low,3.28,0.46,12.0,8,white,0.0,1.0
1359,6.5,0.19,2.24,1.4,0.04,171.0,132.0,low,3.36,0.564,10.8,7,white,0.0,1.0
1360,6.2,0.12,1.56,5.7,0.044,176.0,158.0,high,3.52,0.37,10.5,6,nan,,3.0
1361,6.0,0.13,1.96,5.7,0.038,196.0,189.5,medium,3.59,0.43,10.6,7,white,0.0,2.0
1362,6.4,0.25,2.31,1.4,0.04,180.0,115.0,low,3.19,0.556,11.3,7,white,0.0,1.0
1363,7.782,0.32,0.64,1.4,0.051,95.0,96.0,medium,3.22,0.38,9.5,4,white,0.0,2.0
1364,7.6,0.19,2.05,1.1,0.04,136.0,143.0,low,2.92,0.42,11.4,5,white,0.0,1.0
1365,6.7,0.13,1.96,1.2,0.046,169.0,140.0,medium,3.33,0.33,10.1,7,white,0.0,2.0
1366,7.0,0.14,2.46,0.9,0.037,146.0,95.0,low,3.25,0.43,10.9,6,nan,,1.0
1367,7.6,0.412,1.2,3.8,0.058,123.0,115.0,high,3.15,0.45,8.9,5,white,0.0,3.0
1368,7.3,0.22,2.46,15.4,0.05,175.0,191.0,very high,3.32,0.59,8.9,6,white,0.0,4.0
1369,7.4,0.64,2.35,14.15,0.07,144.0,185.0,very high,2.9,0.49,9.3,5,white,0.0,4.0
1370,7.6,0.28,2.34,1.9,0.052,141.0,116.0,medium,3.25,0.4,10.4,6,white,0.0,2.0
1371,8.3,0.26,2.87,9.2,0.042,183.0,162.0,medium,3.1,0.38,12.0,7,white,0.0,2.0
1372,10.7,0.22,3.36,8.2,0.044,159.0,181.0,very high,2.87,0.68,9.5,6,white,0.0,4.0
1373,10.7,0.22,3.36,8.2,0.044,157.0,181.0,very high,2.87,0.68,9.5,6,white,0.0,4.0
1374,6.9,0.23,2.38,2.7,0.032,158.0,121.0,low,3.14,0.38,12.4,7,white,0.0,1.0
1375,6.2,0.369,2.24,1.7,0.032,166.0,130.0,low,3.28,0.41,11.2,7,white,0.0,1.0
1376,6.9,0.27,2.46,1.7,0.047,126.0,134.0,medium,3.15,0.69,11.4,6,white,0.0,2.0
1377,6.9,0.28,2.46,1.7,0.05,132.0,136.0,medium,3.16,0.71,11.4,6,white,0.0,2.0
1378,6.9,0.28,2.1,1.6,0.047,182.0,132.0,low,3.35,0.38,11.1,7,white,0.0,1.0
1379,6.9,0.46,1.2,0.9,0.054,154.813,126.0,low,3.1,0.602,10.4,6,white,0.0,1.0
1380,6.9,0.38,2.24,8.5,0.044,178.0,152.0,medium,3.38,0.35,12.0,7,white,0.0,2.0
1381,5.7,0.43,2.1,5.7,0.039,160.0,98.0,low,3.54,0.61,12.3,7,white,0.0,1.0
1382,6.6,0.56,0.96,3.1,0.045,146.0,92.0,medium,3.12,0.35,9.1,6,white,0.0,2.0
1383,7.1,0.36,3.36,1.3,0.046,143.0,102.0,low,3.24,0.33,10.5,6,white,0.0,1.0
1384,6.8,0.23,2.4,1.6,0.047,121.0,133.0,medium,3.23,0.7,11.4,6,white,0.0,2.0
1385,6.2,0.409,1.45,1.3,0.042,130.0,138.0,high,3.261,0.64,9.5,5,white,0.0,3.0
1386,5.6,0.49,0.91,4.5,0.039,157.0,116.0,low,3.42,0.9,13.7,7,white,0.0,1.0
1387,6.6,0.42,2.185,2.8,0.034,137.0,85.0,low,3.28,0.51,13.4,6,white,0.0,1.0
1388,7.3,0.18,2.03,1.2,0.044,154.0,143.0,low,3.2,0.48,11.3,7,white,0.0,1.0
1389,8.1,0.19,2.4,0.9,0.037,193.0,180.0,medium,3.06,0.6,10.0,6,white,0.0,2.0
1390,5.9,0.19,1.56,7.4,0.034,155.0,123.0,high,3.49,0.42,10.1,6,white,0.0,3.0
1391,6.2,0.16,2.82,1.4,0.029,141.0,81.0,low,3.26,0.42,12.2,6,white,0.0,1.0
1392,6.6,0.42,1.98,2.8,0.034,135.0,85.0,low,3.28,0.51,13.4,6,white,0.0,1.0
1393,5.7,0.135,1.8,4.6,0.042,139.0,101.0,medium,3.31,0.42,9.3,6,white,0.0,2.0
1394,7.541,0.49,0.91,4.5,0.039,159.0,116.0,low,3.42,0.9,13.7,7,white,0.0,1.0
1395,6.9,0.19,2.31,1.6,0.039,165.0,98.0,low,3.09,0.46,12.3,7,white,0.0,1.0
1396,7.3,0.18,2.03,1.2,0.044,158.0,143.0,low,3.2,0.591,11.3,7,white,0.0,1.0
1397,7.3,0.363,2.52,13.1,0.05,177.0,200.0,very high,3.04,0.549,8.9,7,white,0.0,4.0
1398,7.3,0.25,2.52,13.1,0.05,171.0,200.0,very high,3.04,0.46,8.9,7,white,0.0,4.0
1399,7.0,0.2,2.04,5.7,0.035,150.0,83.0,medium,3.19,0.564,11.5,6,white,0.0,2.0
1400,7.3,0.25,2.52,13.1,0.05,175.0,200.0,very high,3.04,0.46,8.9,7,white,0.0,4.0
1401,6.3,0.67,2.88,12.6,0.052,175.0,222.0,very high,3.17,0.56,9.3,6,white,0.0,4.0
1402,7.4,0.4,2.32,5.4,0.044,193.0,122.0,medium,3.3,0.5,11.1,8,white,0.0,2.0
1403,7.1,0.26,2.48,2.2,0.044,191.0,128.0,medium,3.34,0.64,10.9,8,white,0.0,2.0
1404,9.0,0.31,2.4,6.6,0.043,111.0,73.0,medium,2.9,0.38,11.6,5,white,0.0,2.0
1405,6.3,0.394,0.96,6.9,0.069,91.0,117.0,medium,3.15,0.35,10.2,4,white,0.0,2.0
1406,8.2,0.22,2.88,6.8,0.034,170.0,90.0,medium,3.01,0.38,10.5,8,white,0.0,2.0
1407,7.1,0.19,1.68,3.6,0.033,136.0,78.0,medium,2.91,0.78,11.4,6,white,0.0,2.0
1408,7.608,0.25,2.52,13.1,0.05,175.0,200.0,very high,3.04,0.46,8.9,7,white,0.0,4.0
1409,7.9,0.2,2.04,1.2,0.04,147.0,118.0,medium,3.14,0.41,10.6,6,white,0.0,2.0
1410,7.1,0.26,1.92,5.9,0.037,161.0,97.0,medium,3.31,0.4,11.6,6,white,0.0,2.0
1411,7.0,0.2,2.04,5.7,0.035,152.0,83.0,medium,3.19,0.46,11.5,6,white,0.0,2.0
1412,6.9,0.3,2.64,4.1,0.035,192.0,155.0,medium,3.25,0.79,12.3,8,white,0.0,2.0
1413,8.1,0.29,2.94,7.1,0.042,140.0,124.0,medium,3.14,0.41,10.8,6,white,0.0,2.0
1414,5.8,0.17,1.8,1.4,0.037,169.0,130.0,low,3.29,0.38,11.3,6,white,0.0,1.0
1415,5.9,0.359,0.1,0.8,0.038,118.0,63.0,medium,3.36,0.36,9.3,5,white,0.0,2.0
1416,6.6,0.23,1.56,7.524,0.045,134.0,128.0,medium,3.36,0.6,10.0,6,white,0.0,2.0
1417,8.6,0.417,1.05,15.55,0.057,95.5,127.175,very high,3.04,0.63,11.0,3,white,0.0,4.0
1418,6.9,0.35,3.7,1.0,0.044,118.0,132.0,low,3.13,0.55,10.2,5,white,0.0,1.0
1419,7.6,0.14,2.009,1.6,0.04,171.0,103.0,low,3.07,0.4,10.8,7,white,0.0,1.0
1420,9.2,0.28,1.96,11.8,0.042,109.0,137.0,very high,3.1,0.34,10.1,4,white,0.0,4.0
1421,6.2,0.18,2.94,4.5,0.047,139.0,90.0,low,3.27,0.37,11.6,6,white,0.0,1.0
1422,5.3,0.165,1.2,1.1,0.051,125.0,105.0,medium,3.32,0.47,9.1,5,white,0.0,2.0
1423,9.8,0.25,2.96,10.0,0.056,114.0,225.0,very high,3.06,0.43,10.0,4,white,0.0,4.0
1424,8.1,0.29,2.94,7.1,0.042,138.0,124.0,medium,3.14,0.41,10.8,6,white,0.0,2.0
1425,6.8,0.22,2.94,0.9,0.052,148.0,128.0,low,3.25,0.35,11.4,6,white,0.0,1.0
1426,7.635,0.22,2.94,1.0,0.045,154.0,140.0,low,3.05,0.34,12.7,6,white,0.0,1.0
1427,7.4,0.25,2.45,1.1,0.042,135.0,156.0,low,3.13,0.55,11.3,5,white,0.0,1.0
1428,7.727,0.18,3.43,1.1,0.033,174.0,81.0,low,3.0,0.581,10.4,7,white,0.0,1.0
1429,6.1,0.22,2.45,1.5,0.051,118.0,87.0,medium,3.3,0.46,9.6,5,nan,,2.0
1430,7.681,0.39,0.96,1.0,0.048,86.0,119.0,low,3.0,0.31,10.1,4,white,0.0,1.0
1431,7.351,0.22,2.45,1.5,0.051,118.0,87.0,medium,3.3,0.46,9.6,5,white,0.0,2.0
1432,6.5,0.36,3.43,2.9,0.03,158.0,94.0,low,3.1,0.59,12.1,7,white,0.0,1.0
1433,7.1,0.29,2.94,1.2,0.031,154.0,99.0,low,3.07,0.33,12.2,6,white,0.0,1.0
1434,7.4,0.25,2.45,1.1,0.042,135.0,156.0,low,3.13,0.55,11.3,5,white,0.0,1.0
1435,6.9,0.349,1.2,14.2,0.053,119.0,94.0,very high,3.17,0.5,9.6,5,white,0.0,4.0
1436,8.5,0.56,3.7,17.85,0.051,151.0,243.0,very high,2.99,0.7,9.2,5,white,0.0,4.0
1437,7.837,0.18,3.43,1.1,0.033,166.0,81.0,low,3.0,0.68,10.4,7,white,0.0,1.0
1438,6.3,0.23,2.45,7.1,0.05,163.0,210.0,high,3.23,0.34,9.5,5,white,0.0,3.0
1439,6.1,0.25,2.45,7.6,0.052,171.0,226.0,high,3.16,0.47,8.9,5,white,0.0,3.0
1440,7.2,0.26,3.7,13.6,0.05,152.0,162.0,very high,3.03,0.44,8.8,5,white,0.0,4.0
1441,7.2,0.31,1.2,1.4,0.057,117.0,117.0,medium,3.16,0.35,10.5,5,white,0.0,2.0
1442,8.0,0.25,2.45,1.2,0.061,133.0,117.0,medium,3.08,0.34,9.4,5,white,0.0,2.0
1443,7.0,0.18,1.947,5.3,0.04,156.0,125.0,low,3.24,0.4,12.2,6,white,0.0,1.0
1444,7.289,0.43,2.94,13.0,0.033,157.0,158.0,high,3.14,0.35,11.3,6,white,0.0,3.0
1445,8.3,0.2,4.44,4.45,0.044,155.0,130.0,medium,3.25,0.42,12.2,6,white,0.0,2.0
1446,6.3,0.27,2.94,1.2,0.063,155.0,92.0,low,3.38,0.42,12.2,6,white,0.0,1.0
1447,7.643,0.16,2.94,1.2,0.055,138.0,150.0,low,3.23,0.47,11.2,6,white,0.0,1.0
1448,7.4,0.16,2.94,1.2,0.055,134.0,150.0,low,3.23,0.47,11.2,6,white,0.0,1.0
1449,6.9,0.19,2.94,6.6,0.036,171.0,172.0,medium,3.2,0.27,11.5,6,white,0.0,2.0
1450,7.8,0.43,2.94,13.0,0.033,157.0,158.0,high,3.14,0.35,11.3,6,white,0.0,3.0
1451,7.2,0.4,2.45,1.1,0.048,111.0,138.0,medium,3.01,0.42,9.3,5,white,0.0,2.0
1452,7.8,0.43,2.94,13.0,0.033,154.115,158.0,high,3.14,0.35,11.3,6,white,0.0,3.0
1453,7.6,0.52,3.43,14.0,0.034,175.0,156.0,high,3.14,0.38,11.8,7,white,0.0,3.0
1454,7.599,0.21,2.45,7.181,0.054,152.0,231.0,very high,2.99,0.54,9.2,5,white,0.0,4.0
1455,6.9,0.34,3.7,11.2,0.069,146.0,150.0,high,3.0,0.81,9.2,5,white,0.0,3.0
1456,6.3,0.27,2.94,1.2,0.063,157.0,92.0,low,3.38,0.42,12.2,6,white,0.0,1.0
1457,8.3,0.2,4.44,4.45,0.044,153.0,130.0,medium,3.25,0.42,12.2,6,white,0.0,2.0
1458,7.1,0.22,4.44,2.7,0.044,162.0,144.0,low,3.31,0.41,12.2,6,white,0.0,1.0
1459,7.814,0.11,2.94,4.5,0.048,147.0,133.0,medium,3.24,0.42,10.6,6,white,0.0,2.0
1460,8.5,0.17,4.44,3.6,0.05,155.96,128.0,medium,3.28,0.4,12.4,6,white,0.0,2.0
1461,6.4,0.145,2.94,5.4,0.048,168.0,164.0,medium,3.56,0.44,10.8,6,white,0.0,2.0
1462,7.484,0.16,2.94,1.2,0.055,138.0,150.0,low,3.23,0.47,11.2,6,white,0.0,1.0
1463,8.3,0.19,2.94,1.2,0.051,131.0,137.0,low,3.06,0.46,11.0,6,white,0.0,1.0
