,FA,VA,CA,RS,chlorides,FSD,TSD,density,pH,sulphates,alcohol,quality
1996,7.0,0.28,1.98,14.6,0.043,169.0,115.80207972270364,3,3.34,0.67,8.8,1
1997,8.4,0.2,2.28,11.8,0.055,171.0,170.0,3,3.34,0.82,8.9,1
1998,8.4,0.2,1.8638096026490105,11.8,0.055,173.0,170.0,3,3.34,0.82,8.9,1
1999,7.3,0.18,1.86,17.3,0.055,156.0,197.0,3,3.13,0.46,9.0,1
2000,6.8,0.31,0.45,1.4,0.04,156.0,145.0,1,3.19,0.46,10.0,0
2001,6.7,0.31,0.4,1.3,0.038,156.0,147.0,1,3.18,0.46,10.0,0
2002,7.6,0.17,2.1,1.6,0.047,165.0,154.0,2,3.36,0.69,11.1,1
2003,7.4,0.3,1.32,5.25,0.053,155.0,180.0,2,3.13,0.45,11.6,1
2004,7.4,0.26,1.86,2.4,0.043,172.0,178.0,2,3.42,0.68,10.6,1
2005,7.0,0.28,1.98,14.6,0.043,171.0,168.0,3,3.34,0.67,8.8,1
2006,8.4,0.2,2.28,11.8,0.055,169.0,170.0,3,3.34,0.82,8.9,1
2007,5.6,0.18,1.86,1.5,0.038,136.0,84.0,2,3.34,0.58,10.1,1
2008,7.2,0.15,1.95,1.8,0.043,123.0,159.0,2,3.52,0.47,10.0,0
2009,8.0,0.4,2.31,7.7,0.034,171.0,98.0,2,3.18,0.41,12.2,1
2010,7.0,0.25,3.36,2.0,0.035,138.0,95.0,1,3.23,0.53,11.0,1
2011,7.2,0.15,1.8638096026490105,1.8,0.043,119.0,159.0,2,3.52,0.47,10.0,0
2012,6.8,0.18,2.3,1.4,0.064,141.0,160.0,2,3.37,0.45,11.1,0
2013,6.6,0.32,1.32,16.7,0.046,162.0,133.0,3,3.22,0.67,10.4,1
2014,9.0,0.55,1.5,8.1,0.026000000000000002,116.0,71.0,2,2.94,0.36,11.8,0
2015,6.9,0.19,1.8638096026490105,8.0,0.027999999999999997,146.0,84.0,2,3.11,0.66,10.8,1
2016,6.3,0.41,2.31,4.7,0.023,166.0,110.0,1,3.3,0.38,12.5,1
2017,7.1831040774234385,0.55,1.5,8.1,0.026000000000000002,106.0,71.0,2,2.94,0.36,11.8,0
2018,7.0,0.2,2.38,2.1,0.049,150.0,136.0,1,3.25,0.46,11.6,1
2019,6.6,0.32,1.32,16.7,0.046,162.0,115.80207972270364,3,3.22,0.67,10.4,1
2020,7.7,0.26,2.04,6.4,0.05,160.0,163.0,2,3.19,0.7,11.5,1
2021,6.3,0.21,1.8638096026490105,1.5,0.051,168.0,142.0,2,3.23,0.42,10.1,1
2023,6.3,0.21,1.8638096026490105,1.5,0.051,146.8341224489796,142.0,2,3.23,0.42,10.1,1
2024,8.0,0.43,2.0,12.4,0.168,127.0,190.0,3,3.07,0.64,9.2,0
2025,7.5,0.3,3.55,1.3,0.16,146.0,149.0,2,3.08,0.42,8.9,0
2026,6.4,0.26,2.0,1.7,0.179,101.0,60.0,2,3.09,0.54,10.1,0
2027,6.9,0.32,0.75,8.1,0.046,153.0,180.0,0,3.13,0.45,8.9,0
2028,8.9,0.21,2.04,7.1,0.037000000000000005,151.0,150.0,0,3.1,0.45,9.7,1
2030,9.5,0.42,2.46,2.3,0.034,140.0,145.0,0,3.06,0.52,11.0,1
2031,7.6,0.29,1.3,6.5,0.042,138.0,160.0,2,3.14,0.47,10.7,0
2032,6.5,0.25,1.2,1.4,0.024,153.0,101.0,1,3.24,0.54,10.8,1
2033,7.2,0.23,1.65,12.7,0.049,152.0,183.0,3,3.41,0.4,9.8,0
2034,7.9,0.35,1.8,1.6,0.038,115.0,124.0,2,3.25,0.48,11.0,0
2035,8.8,0.2,1.4,1.1,0.018000000000000002,116.0,72.0,2,2.97,0.35,10.4,0
2038,5.5,0.14,1.35,4.6,0.028999999999999998,122.0,104.0,0,3.34,0.44,9.0,0
2039,8.7,0.24,1.8638096026490105,0.6,0.042,121.0,71.0,2,3.08,0.38,10.6,0
2041,5.5,0.14,1.35,4.6,0.028999999999999998,118.0,104.0,0,3.34,0.44,9.0,0
2042,5.6,0.13,1.62,4.8,0.027999999999999997,148.0,104.0,2,3.34,0.45,9.2,1
2043,7.4,0.18,2.04,2.7,0.03,148.0,107.0,1,2.97,0.53,11.0,1
2044,5.7,0.385,0.24,12.6,0.034,138.0,115.0,0,3.28,0.63,9.9,1
2046,8.3,0.33,2.15,9.2,0.046,122.0,115.80207972270364,3,3.38,0.47,9.3,0
2047,6.8,0.34,2.2,6.6,0.052000000000000005,146.8341224489796,115.80207972270364,0,3.14,0.41,9.6,0
2048,6.8,0.33,2.2,7.0,0.05,129.0,155.0,0,3.14,0.42,9.5,0
2049,6.3,0.28,1.68,8.45,0.031,174.0,172.0,0,3.39,0.57,9.7,1
2050,7.1831040774234385,0.23,1.14,11.1,0.034,71.0,123.0,3,2.93,0.55,9.7,0
2051,6.8,0.21,1.35,18.15,0.042,141.0,146.0,3,3.3,0.36,8.7,0
2052,6.8,0.21,1.35,18.15,0.042,146.8341224489796,146.0,3,3.3,0.36,8.7,0
2053,8.6,0.485,1.45,4.1,0.026000000000000002,146.8341224489796,101.0,1,3.01,0.38,12.4,0
2054,8.6,0.485,1.45,4.1,0.026000000000000002,125.0,115.80207972270364,1,3.01,0.38,12.4,0
2055,7.3,0.29,1.74,4.6,0.028999999999999998,145.0,155.0,2,3.07,0.26,10.6,1
2056,6.8,0.21,1.35,18.15,0.042,147.0,146.0,3,3.3,0.36,8.7,0
2057,6.7,0.31,2.17,4.9,0.031,160.0,151.0,2,3.36,0.82,12.0,1
2059,5.7,0.46,2.3,1.4,0.04,131.0,169.0,2,3.13,0.47,8.8,0
2061,6.7,0.23,1.98,1.8,0.036000000000000004,137.0,96.0,2,3.32,0.4,10.8,1
2062,6.9,0.17,1.25,1.6,0.047,130.0,132.0,1,3.16,0.48,11.4,0
2063,7.6,0.18,1.8,2.4,0.049,146.8341224489796,123.0,0,3.6,0.46,10.3,0
2064,6.6,0.22,1.68,4.9,0.042,169.0,180.0,0,3.3,0.75,9.5,1
2065,7.8,0.27,1.4,1.8,0.05,117.0,127.0,2,3.15,0.44,9.9,0
2066,7.7,0.28,1.8638096026490105,4.3,0.051,125.0,142.0,2,3.16,0.39,10.2,0
2067,7.6,0.29,1.45,4.4,0.051,124.0,115.80207972270364,2,3.16,0.39,10.2,0
2068,5.7,0.32,1.08,1.4,0.028999999999999998,144.0,104.0,1,3.44,0.37,11.0,1
2069,7.1831040774234385,0.33,1.75,1.6,0.03,163.0,126.0,1,3.22,0.34,12.1,1
2070,7.3,0.34,1.8,1.3,0.057,141.0,173.0,2,3.26,0.51,9.1,1
2071,6.5,0.19,1.56,5.2,0.04,151.0,140.0,0,3.26,0.68,9.5,1
2072,6.6,0.23,1.35,5.6,0.043,153.0,164.0,0,3.27,0.76,9.5,0
2073,6.6,0.27,1.45,5.3,0.045,146.8341224489796,189.0,0,3.31,0.79,9.8,0
2074,6.6,0.22,1.68,4.9,0.042,169.0,180.0,0,3.3,0.75,9.5,1
2075,7.6,0.18,1.8,2.4,0.049,138.0,123.0,0,3.6,0.46,10.3,0
2076,6.8,0.36,1.6,1.6,0.039,110.0,124.0,2,3.3,0.67,9.6,0
2077,7.0,0.22,2.34,2.1,0.055,153.0,198.0,0,3.52,0.54,10.2,1
2078,5.9,0.17,1.8,1.4,0.042,145.0,119.0,2,3.68,0.72,10.5,1
2079,7.4,0.45,1.28,7.1,0.044000000000000004,99.0,117.0,0,3.32,0.41,10.4,0
2080,6.8,0.36,1.6,1.6,0.039,106.0,124.0,2,3.3,0.67,9.6,0
2081,7.5,0.42,0.7,10.7,0.046,124.0,115.80207972270364,0,3.22,0.33,10.7,0
2082,7.5,0.33,1.92,11.1,0.036000000000000004,149.0,119.0,0,3.15,0.34,10.5,1
2083,9.4,0.3,1.6,10.7,0.028999999999999998,120.0,111.0,0,2.85,0.42,10.6,0
2084,7.9,0.17,1.92,1.6,0.053,167.0,115.80207972270364,2,3.29,0.76,9.6,1
2085,7.9,0.17,1.92,1.6,0.053,163.0,150.0,2,3.29,0.76,9.6,1
2086,8.2,0.17,1.6,1.5,0.05,121.0,101.0,2,3.14,0.58,9.5,0
2087,7.1831040774234385,0.17,1.86,1.5,0.049,168.0,153.0,2,3.12,0.58,9.4,1
2088,8.7,0.15,1.8,1.6,0.046,147.0,130.0,2,3.22,0.38,9.8,1
2089,7.9,0.17,1.92,1.6,0.053,167.0,150.0,2,3.29,0.76,9.6,1
2090,7.2,0.25,0.95,8.0,0.044000000000000004,153.0,115.80207972270364,0,3.16,0.44,9.2,0
2091,7.2,0.24,1.8638096026490105,7.7,0.045,159.0,176.0,0,3.17,0.38,9.5,0
2092,5.3,0.76,0.15,2.7,0.043,129.0,93.0,2,3.34,0.38,9.2,0
2093,6.6,0.22,2.65,15.1,0.052000000000000005,124.0,115.80207972270364,3,2.94,0.35,9.4,0
2094,6.6,0.22,2.65,15.1,0.052000000000000005,126.0,136.0,3,2.94,0.35,9.4,0
2095,8.4,0.28,2.0,8.9,0.048,133.0,146.0,3,3.4,0.46,9.3,0
2096,6.8,0.32,1.7,6.0,0.05,105.0,129.0,0,3.19,0.4,9.1,0
2097,6.7,0.24,1.65,12.3,0.046,135.0,145.0,3,3.36,0.4,9.5,0
2098,7.4,0.18,2.16,13.1,0.055999999999999994,194.0,163.0,3,3.42,0.35,9.1,1
2099,6.0,0.16,1.5,6.7,0.043,147.0,153.0,0,3.63,0.46,10.6,0
2100,6.7,0.24,1.65,12.3,0.046,133.0,145.0,3,3.36,0.4,9.5,0
2101,6.8,0.28,2.1,2.3,0.042,130.0,115.80207972270364,1,3.19,0.56,12.4,1
2103,6.0,0.27,0.75,1.5,0.055999999999999994,133.0,128.0,2,3.12,0.45,8.8,0
2104,6.0,0.16,1.5,6.7,0.043,145.0,153.0,0,3.63,0.46,10.6,0
2105,6.8,0.32,1.7,6.0,0.05,109.0,129.0,0,3.19,0.4,9.1,0
2107,8.1,0.24,1.98,10.2,0.048,166.0,141.0,3,3.16,0.48,10.3,1
2108,7.4,0.18,2.16,13.1,0.055999999999999994,192.0,163.0,3,3.42,0.35,9.1,1
2109,7.7,0.23,1.8638096026490105,10.7,0.038,181.0,186.0,0,3.12,0.55,9.5,1
2110,6.5,0.22,1.25,17.1,0.05,142.0,138.0,3,3.3,0.37,8.8,0
2111,6.5,0.22,1.25,17.1,0.05,144.0,138.0,3,3.3,0.37,8.8,0
2112,6.5,0.22,1.25,17.1,0.05,146.8341224489796,138.0,3,3.3,0.37,8.8,0
2113,5.7,0.33,0.75,1.9,0.05,124.0,93.0,2,3.38,0.62,9.9,0
2114,7.7,0.23,1.86,10.7,0.038,175.0,186.0,0,3.12,0.55,9.5,1
2115,6.5,0.22,1.25,17.1,0.05,146.0,138.0,3,3.3,0.37,8.8,0
2116,6.8,0.2,1.08,1.2,0.034,97.0,68.0,1,3.14,0.37,11.7,0
2117,7.7,0.26,1.8638096026490105,1.2,0.04,126.0,117.0,2,3.21,0.56,10.8,0
2118,6.4,0.2,1.92,3.1,0.040999999999999995,136.0,126.0,1,3.43,0.42,12.0,1
2119,8.0,0.16,1.44,1.5,0.033,96.0,122.0,2,3.2,0.39,10.3,0
2120,6.8,0.25,1.35,10.7,0.076,151.0,154.0,0,3.05,0.38,9.0,0
2121,7.7,0.39,1.96,4.9,0.035,178.0,109.0,1,3.19,0.58,12.2,1
2122,6.9,0.26,1.65,12.6,0.051,163.0,173.0,3,3.39,0.38,9.9,0
2123,6.8,0.25,1.35,10.7,0.076,149.0,154.0,0,3.05,0.38,9.0,0
2124,7.7,0.39,1.96,4.9,0.035,168.0,109.0,1,3.19,0.58,12.2,1
2125,6.0,0.28,1.1,12.15,0.048,142.0,163.0,0,3.2,0.46,10.1,0
2126,6.5,0.43,1.4,12.0,0.055999999999999994,121.0,174.0,3,3.31,0.55,9.3,0
2128,5.9,0.5,0.3,2.6,0.054000000000000006,154.0,146.0,2,3.43,0.5,9.2,1
2129,6.8,0.28,1.8638096026490105,1.4,0.036000000000000004,119.0,115.0,1,3.27,0.72,11.7,0
2130,7.0,0.35,1.2,1.9,0.04,117.0,144.0,1,3.35,0.38,11.0,0
2131,7.1,0.22,1.92,16.9,0.055999999999999994,171.0,158.0,3,3.37,0.38,9.6,1
2132,7.1,0.22,1.92,16.9,0.055999999999999994,169.0,158.0,3,3.37,0.38,9.6,1
2134,6.8,0.26,1.92,7.0,0.040999999999999995,158.0,118.0,2,3.25,0.52,10.8,1
2136,7.9,0.18,2.16,5.9,0.057999999999999996,153.0,132.0,0,3.25,0.52,10.9,1
2138,5.5,0.24,1.6,8.7,0.06,121.0,102.0,2,3.27,0.31,10.4,0
2139,7.1,0.33,1.8638096026490105,13.2,0.055999999999999994,114.0,105.0,3,3.05,0.39,9.2,0
2140,7.7,0.28,1.75,15.3,0.055999999999999994,127.0,117.0,3,3.27,0.5,9.6,0
2141,7.1831040774234385,0.28,1.75,15.3,0.055999999999999994,131.0,117.0,3,3.27,0.5,9.6,0
2142,7.5,0.26,1.8638096026490105,13.2,0.047,168.0,179.0,3,3.1,0.46,9.0,0
2143,6.5,0.14,2.24,2.7,0.037000000000000005,162.0,89.0,2,3.4,0.74,11.5,1
2144,8.2,0.21,1.92,10.65,0.053,179.0,145.0,3,3.17,0.48,10.2,1
2145,7.2,0.2,1.86,10.0,0.054000000000000006,173.0,165.0,3,3.4,0.42,9.9,1
2146,7.2,0.115,1.8,6.8,0.055999999999999994,148.0,105.0,0,3.44,0.4,9.6,1
2147,0.29,6.4,1.0,15.6,0.04,120.0,142.0,0,3.1,0.54,10.6,0
2148,7.1,0.33,3.2,13.2,0.055999999999999994,114.0,105.0,3,3.05,0.39,9.2,0
2149,6.8,0.24,2.04,5.1,0.038,149.0,99.0,1,3.24,0.46,11.8,1
2150,7.0,0.24,1.8638096026490105,3.0,0.035,156.0,102.0,1,3.18,0.43,12.2,1
2151,7.7,0.28,1.75,15.3,0.055999999999999994,135.0,117.0,3,3.27,0.5,9.6,0
2152,7.0,0.22,1.98,2.1,0.052000000000000005,141.0,76.0,2,3.2,0.41,10.6,1
2153,7.5,0.18,2.34,1.9,0.054000000000000006,143.0,91.0,2,3.27,0.45,10.3,1
2154,7.1831040774234385,0.93,1.8,8.6,0.052000000000000005,114.0,187.0,3,3.12,0.59,10.2,0
2155,7.8,0.29,1.65,8.75,0.035,135.0,115.80207972270364,0,3.11,0.46,10.7,0
2156,7.9,0.28,1.8638096026490105,3.6,0.038,91.0,76.0,1,3.05,0.31,11.7,0
2157,8.5,0.25,1.62,4.7,0.031,147.0,92.0,1,3.01,0.33,12.0,1
2158,7.4,0.18,1.62,1.3,0.048,146.0,105.0,2,3.52,0.66,10.6,1
2159,7.1831040774234385,0.24,1.48,1.8,0.031,86.0,61.0,1,3.3,0.34,12.2,0
2160,6.0,0.33,2.28,9.7,0.04,149.0,124.0,0,3.47,0.48,11.0,1
2161,6.8,0.37,1.96,4.0,0.03,171.0,115.80207972270364,1,3.23,0.46,12.4,1
2163,8.5,0.25,1.62,4.7,0.031,145.0,115.80207972270364,1,3.01,0.33,12.0,1
2164,8.4,0.22,1.4,18.8,0.027999999999999997,151.0,130.0,3,2.96,0.35,11.6,0
2165,7.0,0.35,1.55,1.8,0.069,117.0,162.0,2,3.18,0.47,9.4,0
2166,7.0,0.35,1.55,1.8,0.069,113.0,162.0,2,3.18,0.47,9.4,0
2172,6.9,0.32,0.65,7.8,0.042,111.0,115.80207972270364,0,3.23,0.37,9.2,0
2173,7.6,0.32,2.9,16.75,0.05,143.0,163.0,3,3.15,0.54,9.2,0
2176,6.9,0.32,0.65,7.8,0.042,113.0,117.0,0,3.23,0.37,9.2,0
2177,6.0,0.34,1.68,5.4,0.06,169.0,126.0,0,3.25,0.44,9.0,1
2178,7.6,0.32,2.9,16.75,0.05,145.0,163.0,3,3.15,0.54,9.2,0
2179,7.7,0.24,1.86,1.3,0.047,153.0,115.80207972270364,2,3.22,0.55,10.8,1
2180,8.0,0.36,2.58,10.1,0.053,151.0,115.80207972270364,3,3.4,0.46,9.5,1
2181,7.4,0.29,1.5,3.8,0.044000000000000004,152.0,114.0,1,3.11,0.4,11.0,1
2182,6.6,0.32,1.35,10.9,0.040999999999999995,135.0,146.0,0,3.24,0.47,10.0,0
2183,6.3,0.3,1.2,6.6,0.04,136.0,141.0,0,3.22,0.47,9.5,0
2184,6.4,0.33,1.44,9.8,0.040999999999999995,151.0,109.0,0,3.29,0.47,10.1,1
2185,7.5,0.18,2.17,11.7,0.051,166.0,94.0,3,3.19,0.44,9.5,1
2186,6.5,0.39,1.8638096026490105,1.2,0.217,114.0,74.0,2,3.08,0.53,9.5,0
2187,6.8,0.25,0.9,1.4,0.055999999999999994,111.0,137.0,2,3.11,0.42,9.5,0
2188,6.4,0.18,1.92,9.6,0.052000000000000005,142.0,90.0,0,3.35,0.49,9.4,1
2189,7.1,0.18,1.8638096026490105,12.2,0.048,154.0,115.80207972270364,0,2.92,0.54,9.4,1
2190,7.6,0.27,1.8638096026490105,2.6,0.044000000000000004,151.0,115.80207972270364,1,3.31,0.51,12.7,1
2191,7.1831040774234385,0.23,1.75,10.7,0.037000000000000005,132.0,145.0,3,3.09,0.32,9.7,0
2192,7.9,0.28,2.46,4.9,0.057999999999999996,149.0,153.0,0,3.27,0.51,9.7,1
2193,7.1,0.18,1.92,12.2,0.048,156.0,125.0,0,2.92,0.54,9.4,1
2194,6.4,0.18,1.92,9.6,0.052000000000000005,144.0,90.0,0,3.35,0.49,9.4,1
2195,6.8,0.25,0.9,1.4,0.055999999999999994,119.0,137.0,2,3.11,0.42,9.5,0
2196,7.0,0.22,1.56,1.1,0.037000000000000005,142.0,71.0,1,3.1,0.38,11.7,1
2197,7.3,0.18,1.74,1.0,0.036000000000000004,154.0,101.0,1,3.09,0.37,11.7,1
2198,7.1,0.26,0.95,8.2,0.051,155.0,187.0,0,3.16,0.52,9.7,0
2200,6.4,0.24,1.15,7.3,0.069,135.0,157.0,0,3.25,0.53,9.1,0
2201,6.0,0.28,1.62,2.3,0.051,137.0,147.0,2,3.23,0.67,10.3,1
2202,7.1831040774234385,0.26,0.95,8.2,0.051,151.0,115.80207972270364,0,3.16,0.52,9.7,0
2203,7.8,0.24,1.9,2.1,0.057999999999999996,114.0,167.0,2,3.21,0.55,9.9,0
2204,7.6,0.27,1.65,2.0,0.059000000000000004,121.0,175.0,2,3.22,0.56,9.9,0
2205,7.7,0.39,1.7,10.0,0.055999999999999994,131.0,178.0,3,3.26,0.6,10.2,0
2206,8.9,0.24,1.98,15.75,0.035,134.0,132.0,0,3.0,0.37,12.1,1
2207,6.6,0.23,1.68,3.9,0.045,176.0,138.0,1,3.15,0.64,11.3,1
2208,7.1,0.26,1.5,2.0,0.031,146.8341224489796,128.0,1,3.19,0.49,11.4,0
2209,7.0,0.32,2.1,1.5,0.039,146.0,125.0,1,3.17,0.64,12.2,1
2210,7.4,0.24,1.82,1.6,0.057999999999999996,146.8341224489796,150.0,2,3.18,0.5,9.9,1
2211,6.9,0.21,1.98,1.4,0.055999999999999994,153.0,136.0,2,3.63,0.78,10.3,1
2212,7.0,0.32,2.1,1.5,0.039,142.0,125.0,1,3.17,0.64,12.2,1
2213,7.4,0.17,1.74,1.4,0.047,147.0,107.0,2,3.52,0.65,10.4,1
2214,7.1,0.26,1.5,2.0,0.031,113.0,128.0,1,3.19,0.49,11.4,0
2215,8.5,0.28,2.04,13.8,0.040999999999999995,152.0,161.0,3,3.13,0.4,9.9,1
2216,7.8,0.3,1.85,1.3,0.051,114.0,96.0,2,3.32,0.62,10.0,0
2217,8.1,0.25,2.28,3.8,0.051,146.8341224489796,129.0,2,3.21,0.38,11.5,1
2218,7.7,0.28,1.74,6.9,0.040999999999999995,149.0,163.0,0,3.44,0.6,10.5,1
2219,6.5,0.24,2.52,2.2,0.027000000000000003,174.0,134.0,1,3.28,0.36,12.5,1
2220,7.0,0.22,1.92,1.6,0.045,156.0,115.80207972270364,1,2.98,0.44,10.5,1
2221,8.5,0.28,2.04,13.8,0.040999999999999995,148.0,161.0,3,3.13,0.4,9.9,1
2222,8.0,0.45,1.96,10.8,0.051,167.0,157.0,0,3.06,0.47,11.4,1
2223,6.9,0.23,1.98,12.8,0.055999999999999994,164.0,169.0,3,3.42,0.42,9.8,1
2224,8.0,0.45,1.96,10.8,0.051,161.0,157.0,0,3.06,0.47,11.4,1
2225,7.6,0.23,1.04,15.3,0.067,114.0,115.80207972270364,3,3.03,0.44,9.2,0
2226,7.7,0.28,2.9,12.1,0.046,160.0,177.0,3,3.08,0.46,8.9,0
2227,7.7,0.27,3.05,12.0,0.046,168.0,179.0,3,3.07,0.46,8.9,0
2228,7.1,0.2,1.8638096026490105,11.6,0.042,185.0,124.0,3,2.92,0.59,9.5,1
2229,6.9,0.25,1.8638096026490105,9.2,0.034,162.0,150.0,2,3.21,0.36,11.5,1
2230,7.1,0.2,2.52,11.6,0.042,187.0,124.0,3,2.92,0.59,9.5,1
2231,6.9,0.25,2.1,9.2,0.034,162.0,150.0,2,3.21,0.36,11.5,1
2232,8.4,0.2,1.86,2.8,0.054000000000000006,134.0,89.0,2,2.96,0.45,9.5,1
2233,6.5,0.39,1.75,1.6,0.049,108.0,164.0,0,3.35,0.51,9.7,0
2234,7.2,0.23,1.9,6.1,0.067,124.0,90.0,0,3.17,0.79,9.7,0
2235,6.9,0.44,2.52,8.5,0.048,128.0,115.80207972270364,3,3.32,0.46,9.5,1
2236,7.1,0.28,0.95,7.8,0.04,148.0,184.0,0,3.16,0.5,9.4,0
2237,6.4,0.34,0.8,14.9,0.06,119.0,162.0,3,3.13,0.45,9.0,0
2238,7.1831040774234385,0.15,1.74,6.2,0.046,159.0,151.0,2,3.6,0.44,10.6,1
2239,6.9,0.44,2.52,8.5,0.048,130.0,147.0,3,3.32,0.46,9.5,1
2240,7.2,0.29,0.9,8.2,0.042,139.0,115.80207972270364,0,3.16,0.49,9.1,0
2241,7.1,0.28,0.95,7.8,0.04,146.0,184.0,0,3.16,0.5,9.4,0
2243,6.7,0.23,2.1,11.2,0.047,156.0,171.0,3,3.54,0.74,10.4,0
2245,7.5,0.31,1.8638096026490105,7.1,0.031,166.0,141.0,2,3.16,0.38,10.6,1
2246,6.4,0.34,0.8,14.9,0.06,115.0,162.0,3,3.13,0.45,9.0,0
2247,6.1,0.15,1.74,6.2,0.046,157.0,151.0,2,3.6,0.44,10.6,1
2248,7.4,0.2,1.74,1.7,0.047,146.8341224489796,100.0,2,3.28,0.45,10.6,1
2249,6.3,0.27,0.9,7.7,0.048,141.0,186.0,0,3.23,0.47,9.0,0
2251,7.4,0.18,2.03,1.4,0.042,174.0,101.0,2,3.54,0.6,10.5,1
2252,7.2,0.29,1.0,7.7,0.046,151.0,174.0,0,3.16,0.52,9.5,0
2253,6.3,0.27,0.9,7.7,0.048,145.0,115.80207972270364,0,3.23,0.47,9.0,0
2254,6.2,0.26,1.14,3.4,0.049,169.0,172.0,2,3.14,0.43,10.4,1
2255,7.3,0.21,1.26,1.6,0.046,155.0,133.0,2,3.38,0.46,10.0,1
2256,7.1,0.14,1.75,1.4,0.039,124.0,128.0,1,2.97,0.68,10.4,0
2257,7.2,0.39,3.24,1.4,0.157,154.0,132.0,2,3.11,0.53,9.0,1
2259,7.2,0.39,3.24,1.4,0.157,154.0,132.0,2,3.11,0.53,9.0,1
2261,6.5,0.36,1.86,4.1,0.061,136.0,134.0,2,3.18,0.45,9.0,1
2262,8.5,0.25,1.86,2.8,0.032,131.0,115.80207972270364,1,3.06,0.44,11.5,1
2263,6.9,0.3,1.05,15.7,0.055999999999999994,147.0,115.80207972270364,3,3.11,0.48,9.0,0
2264,6.6,0.19,2.58,10.9,0.045,167.0,115.80207972270364,3,3.52,0.77,10.4,1
2265,6.9,0.3,1.05,15.7,0.055999999999999994,143.0,159.0,3,3.11,0.48,9.0,0
2266,9.4,0.42,1.6,6.5,0.027000000000000003,118.0,167.0,2,3.08,0.43,10.6,0
2267,6.6,0.19,2.58,10.9,0.045,171.0,154.0,3,3.52,0.77,10.4,1
2268,6.3,0.2,1.8,5.9,0.034,151.0,152.0,0,3.47,0.4,8.5,1
2269,8.5,0.19,3.36,17.3,0.055,169.0,169.0,3,3.07,0.67,9.3,1
2270,7.3,0.19,1.75,1.4,0.051,185.0,107.0,2,3.53,0.66,10.5,1
2271,6.7,0.25,1.56,13.5,0.06,168.0,156.0,3,3.39,0.46,9.9,1
2272,6.2,0.25,1.68,8.5,0.035,152.0,108.0,2,3.4,0.42,10.4,1
2273,6.1,0.46,1.6,6.2,0.053,116.0,94.0,0,3.35,0.47,10.1,0
2274,7.3,0.19,1.75,1.4,0.051,185.0,107.0,2,3.53,0.66,10.5,1
2275,7.5,0.29,1.04,14.95,0.067,123.0,178.0,3,3.04,0.49,9.2,0
2277,7.4,0.14,1.8,1.3,0.033,147.0,115.80207972270364,2,3.53,0.39,10.6,1
2279,7.1,0.4,2.6,1.3,0.14800000000000002,141.0,115.80207972270364,2,3.08,0.56,8.7,0
2280,6.4,0.16,1.5,1.3,0.047,140.0,77.0,2,3.61,0.54,10.2,1
2281,6.3,0.16,1.32,1.3,0.046,130.0,66.0,2,3.61,0.55,10.3,1
2286,6.6,0.41,1.8638096026490105,4.9,0.158,147.0,144.0,2,3.17,0.49,9.4,0
2287,6.7,0.43,1.15,5.0,0.157,149.0,145.0,2,3.17,0.49,9.4,0
2289,7.3,0.4,1.96,6.5,0.037000000000000005,172.0,97.0,1,3.16,0.58,12.6,1
2290,7.4,0.18,1.68,1.4,0.047,163.0,106.0,2,3.52,0.64,10.5,1
2293,7.3,0.4,1.96,6.5,0.037000000000000005,146.8341224489796,115.80207972270364,1,3.16,0.58,12.6,1
2294,7.0,0.32,2.17,6.4,0.031,180.0,115.0,2,3.38,0.58,10.487660536156229,1
2295,7.5,0.42,1.14,6.9,0.040999999999999995,180.0,150.0,0,3.23,0.37,10.0,1
2296,6.9,0.28,2.17,7.2,0.04,185.0,168.0,2,3.29,0.57,10.6,1
2298,6.3,0.41,1.44,3.5,0.027000000000000003,175.0,109.0,1,3.34,0.54,12.8,1
2299,7.0,0.32,2.17,6.4,0.031,178.0,115.80207972270364,2,3.38,0.58,12.2,1
2300,7.3,0.3,2.31,2.3,0.043,170.0,125.0,1,3.34,0.44,12.6,1
2301,6.6,0.22,1.4,5.443836575875507,0.057999999999999996,127.0,125.0,3,3.45,0.45,9.4,0
2302,6.0,0.26,0.9,7.0,0.055,146.0,194.0,0,3.21,0.43,9.0,0
2303,6.9,0.44,0.9,11.8,0.051,128.0,126.0,3,3.23,0.48,9.1,0
2304,7.5,0.42,1.2,1.4,0.06,133.0,115.80207972270364,2,3.06,0.4,9.4,1
2305,7.0,0.36,1.8638096026490105,5.0,0.04,176.0,143.0,1,3.33,0.42,12.2,1
2306,5.6,0.295,1.0,2.2,0.049,122.0,134.0,2,3.21,0.68,10.0,0
2307,6.8,0.21,2.75,14.6,0.053,136.0,159.0,3,2.93,0.44,9.2,0
2308,9.4,0.28,1.5,1.6,0.045,130.0,139.0,0,3.11,0.49,9.3,0
2309,8.1,0.28,2.04,1.3,0.035,137.0,126.0,1,3.14,0.5,9.8,1
2310,6.8,0.21,2.75,14.6,0.053,132.0,159.0,3,2.93,0.44,9.2,0
2311,7.0,0.22,1.82,2.8,0.036000000000000004,186.0,132.0,1,3.34,0.41,12.0,1
2312,9.4,0.28,1.5,1.6,0.045,134.0,139.0,0,3.11,0.49,9.3,0
2313,6.8,0.32,2.1,3.3,0.028999999999999998,151.0,80.0,1,3.33,0.63,12.6,1
2314,7.0,0.19,1.98,6.3,0.032,164.0,127.0,1,3.31,0.38,10.487660536156229,1
