,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
1989,Female,No,52.0,Yes,Doctor,1.0,Low,1.0,4.0,1.786,3.359,5.83,4.118,B
1990,Male,No,52.0,No,Artist,5.0,Low,1.0,6.0,0.276,4.758,-0.642,7.303,B
1991,Male,No,31.0,Yes,Entertainment,1.0,Low,4.0,6.0,7.979,5.083,2.611,1.9509999999999998,D
1992,Male,Yes,37.0,Yes,Marketing,1.0,Low,2.0,6.0,6.395,4.806,17.632,5.062,D
1993,Male,No,27.0,Yes,Artist,3.0,Low,1.0,2.0,9.385,4.833,5.632000000000001,3.509,A
1994,Female,No,35.0,Yes,Engineer,4.0,Low,4.0,2.0,6.779,12.834000000000001,17.832,0.805,C
1996,Female,No,28.0,Yes,Doctor,1.0,Low,4.0,6.0,17.622,8.905,12.327,14.405,C
1997,Male,No,31.0,No,Healthcare,0.0,Low,4.0,6.0,11.042,2.8310000000000004,6.297999999999999,4.905,D
1999,Female,No,51.0,Yes,Entertainment,4.0,Low,1.0,6.0,5.4239999999999995,5.846,5.053999999999999,4.3469999999999995,A
2000,Male,Yes,38.0,Yes,Entertainment,1.0,Low,2.0,6.0,15.135,5.89,12.456,10.696,D
2001,Female,Yes,53.0,Yes,Artist,0.0,Average,2.0,3.0,1.124,3.49,-4.575,6.5,B
2002,Female,No,43.0,Yes,Artist,8.0,Low,2.0,6.0,5.431,0.976,5.5760000000000005,5.825,B
2003,Male,Yes,55.0,No,Executive,0.0,Low,2.0,6.0,2.772,-2.401,7.237,4.33,A
2004,Male,No,35.0,Yes,Artist,4.0,Low,2.0,6.0,8.374,3.9819999999999998,8.582,2.306,A
2005,Female,Yes,25.0,No,Engineer,1.0,Average,2.0,4.0,8.025,0.64,3.28,-0.10099999999999999,A
2006,Male,Yes,58.0,Yes,Artist,6.0,Average,4.0,6.0,8.241,-3.569,5.197,11.075999999999999,C
2007,Female,No,32.0,Yes,Doctor,1.0,Low,6.0,6.0,0.345,0.94,2.432,-5.496,D
2008,Female,Yes,49.0,No,Artist,1.0,Average,4.0,3.0,13.743,15.379000000000001,4.695,1.534,C
2009,Female,Yes,53.0,No,Entertainment,9.0,High,2.0,6.0,7.183,1.2590000000000001,-0.951,0.9259999999999999,A
2010,Female,Yes,31.0,No,Engineer,9.0,Low,4.0,6.0,7.526,3.609,3.633,0.414,A
2011,Male,No,39.0,Yes,Artist,1.0,Low,2.0,6.0,7.851,-1.275,6.24,5.504,B
2012,Male,No,42.0,Yes,Entertainment,1.0,Low,1.0,6.0,3.6060000000000003,3.574,3.343,4.527,A
2013,Male,No,20.0,No,Healthcare,1.0,Low,5.0,2.0,11.29,8.042,6.2989999999999995,6.9670000000000005,D
2014,Male,Yes,50.0,Yes,Entertainment,1.0,Low,2.0,6.0,6.457000000000001,0.763,2.842,3.734,A
2015,Male,No,26.0,No,Doctor,1.0,Low,6.0,2.0,3.8280000000000003,0.6509999999999999,-4.954,3.37,B
2016,Male,Yes,46.0,Yes,Artist,1.0,Average,3.0,6.0,4.3069999999999995,16.419,7.629,6.197,C
2017,Male,No,30.0,Yes,Doctor,0.0,Low,2.0,3.0,3.9389999999999996,3.609,0.086,2.659,A
2018,Female,Yes,60.0,Yes,Doctor,6.0,Average,2.0,6.0,18.834,10.817,8.457,4.715,C
2019,Male,Yes,84.0,No,Lawyer,0.0,Low,1.0,6.0,4.971,2.985,4.385,2.02,D
2020,Female,No,37.0,Yes,Homemaker,1.0,Low,1.0,6.0,1.396,3.821,7.6979999999999995,11.327,D
2021,Male,Yes,43.0,Yes,Artist,6.0,Low,1.0,6.0,0.555,-1.0659999999999998,4.977,1.3769999999999998,B
2022,Female,No,38.0,Yes,Healthcare,0.0,Low,2.0,6.0,2.275,6.236000000000001,7.388999999999999,5.1160000000000005,D
2023,Male,Yes,51.0,Yes,Entertainment,0.0,Average,4.0,6.0,17.311,9.078,11.288,3.0580000000000003,C
2024,Male,No,20.0,No,Healthcare,0.0,Low,4.0,3.0,12.602,1.517,8.586,4.177,D
2025,Female,No,25.0,No,Healthcare,14.0,Low,3.0,6.0,7.97,4.609,4.409,8.33,D
2026,Female,No,33.0,Yes,Doctor,0.0,Low,5.0,6.0,15.478,5.662000000000001,12.365,0.848,D
2027,Female,No,31.0,No,Engineer,0.0,Low,1.0,6.0,3.5610000000000004,0.733,5.261,5.066,D
2028,Male,Yes,57.0,Yes,Healthcare,1.0,Low,3.0,6.0,3.491,5.303,-0.046,3.2880000000000003,B
2029,Male,Yes,42.0,Yes,Artist,1.0,Low,4.0,4.0,1.8980000000000001,4.84,-2.506,2.135,B
2030,Male,Yes,40.0,No,Entertainment,2.0,Average,5.0,2.0,6.371,-4.894,-0.87,5.205,B
2031,Male,Yes,66.0,No,Lawyer,0.0,High,3.0,6.0,-0.508,0.706,5.277,7.0489999999999995,B
2032,Male,No,21.0,No,Homemaker,0.0,Low,4.0,3.0,6.7379999999999995,0.659,3.7289999999999996,3.6060000000000003,A
2033,Male,Yes,73.0,No,Executive,1.0,High,2.0,6.0,2.374,1.173,-3.923,4.016,B
2034,Female,Yes,46.0,Yes,Artist,0.0,Low,2.0,6.0,12.95,6.779,13.071,-0.048,C
2035,Female,Yes,66.0,Yes,Artist,0.0,Average,2.0,6.0,5.449,5.732,3.405,11.065999999999999,C
2036,Male,Yes,27.0,Yes,Doctor,0.0,Average,2.0,5.0,5.445,1.521,3.6919999999999997,-0.511,D
2037,Female,Yes,35.0,Yes,Homemaker,1.0,Low,3.0,3.0,3.824,12.159,6.25,11.6,D
2038,Female,Yes,53.0,No,Artist,1.0,High,4.0,6.0,3.486,6.151,3.782,3.8760000000000003,A
2039,Male,Yes,80.0,No,Lawyer,8.0,Low,1.0,6.0,3.839,7.885,8.728,2.721,D
2040,Female,Yes,63.0,Yes,Artist,1.0,Average,3.0,6.0,20.855999999999998,12.832,10.548,5.636,C
2042,Male,Yes,43.0,Yes,Artist,1.0,Average,4.0,6.0,16.167,9.306000000000001,7.631,10.902999999999999,C
2045,Female,No,33.0,Yes,Entertainment,1.0,Low,4.0,6.0,-0.344,3.4610000000000003,-1.994,6.435,B
2046,Male,No,30.0,No,Engineer,9.0,Low,3.0,4.0,13.427,5.678,-2.006,1.143,D
2047,Male,Yes,85.0,Yes,Executive,1.0,High,2.0,6.0,4.457,2.9589999999999996,5.537999999999999,4.488,D
2050,Male,Yes,80.0,Yes,Lawyer,1.0,High,2.0,6.0,7.648,1.819,2.984,5.407,B
2051,Male,No,33.0,Yes,Artist,8.0,Low,3.0,5.0,10.703,4.489,6.478,2.802,A
2052,Female,Yes,36.0,Yes,Artist,4.0,High,7.0,6.0,14.548,16.086,11.642000000000001,14.495999999999999,C
2053,Male,Yes,27.0,No,Entertainment,3.0,Average,2.0,6.0,2.7739999999999996,0.561,4.013,2.591,B
2055,Female,Yes,35.0,Yes,Doctor,0.0,Average,3.0,3.0,3.056,7.712000000000001,3.57,1.554,A
2056,Male,No,26.0,Yes,Entertainment,1.0,Low,3.0,6.0,12.18,2.153,10.169,2.136,D
2057,Female,Yes,39.0,Yes,Homemaker,1.0,Average,3.0,3.0,3.832,4.965,3.285,3.516,A
2058,Female,Yes,56.0,Yes,Artist,1.0,High,4.0,2.0,2.4290000000000003,1.604,4.872,0.386,B
2059,Female,No,26.0,Yes,Artist,13.0,Low,2.0,6.0,0.6679999999999999,0.848,2.556,6.364,B
2060,Male,Yes,31.0,Yes,Entertainment,4.0,Low,2.0,6.0,2.063,2.878,-1.9040000000000001,12.777000000000001,B
2061,Male,No,21.0,No,Healthcare,0.0,Low,2.0,6.0,8.736,3.388,10.777000000000001,11.097999999999999,D
2062,Male,Yes,39.0,No,Entertainment,1.0,Average,4.0,4.0,9.62,5.091,4.936,2.489,A
2063,Female,No,51.0,Yes,Artist,1.0,Low,1.0,6.0,13.825,10.492,-2.204,10.880999999999998,C
2064,Male,Yes,45.0,No,Doctor,0.0,Low,4.0,4.0,6.135,3.6,2.444,2.384,A
2065,Female,No,33.0,Yes,Homemaker,11.0,Low,3.0,6.0,15.072000000000001,9.538,6.0329999999999995,4.962,D
2067,Female,Yes,80.0,Yes,Lawyer,1.0,High,2.0,6.0,4.8260000000000005,2.5789999999999997,8.253,3.1010000000000004,A
2068,Male,Yes,77.0,Yes,Executive,1.0,Low,1.0,6.0,-1.256,5.699,3.9589999999999996,3.888,D
2069,Female,No,29.0,No,Healthcare,1.0,Low,5.0,4.0,12.482999999999999,1.6540000000000001,10.774000000000001,8.277000000000001,D
2070,Female,Yes,33.0,No,Engineer,7.0,Average,5.0,4.0,2.7030000000000003,0.282,2.735,-1.0590000000000002,B
2071,Male,No,29.0,No,Artist,1.0,Low,3.0,2.0,5.465,10.5,2.786,5.239,A
2072,Female,No,20.0,No,Healthcare,1.0,Low,3.0,6.0,7.079,7.185,11.64,5.614,D
2075,Male,Yes,53.0,Yes,Artist,3.0,Average,3.0,6.0,2.932,-1.494,8.677,9.915,B
2076,Male,Yes,28.0,Yes,Entertainment,3.0,Average,3.0,7.0,3.3810000000000002,8.085,2.134,10.363,B
2077,Female,No,43.0,Yes,Entertainment,1.0,Low,4.0,4.0,5.292000000000001,1.975,4.593999999999999,0.359,A
2078,Male,No,31.0,Yes,Entertainment,1.0,Low,3.0,6.0,14.042,5.024,7.318,8.349,D
2079,Female,No,28.0,Yes,Healthcare,1.0,Low,2.0,3.0,3.418,4.836,4.281000000000001,1.909,D
2080,Male,Yes,65.0,Yes,Artist,1.0,Low,2.0,6.0,1.3630000000000002,1.7380000000000002,4.6739999999999995,5.632999999999999,A
2081,Male,Yes,33.0,Yes,Artist,0.0,Average,2.0,6.0,2.024,2.004,0.855,7.275,B
2082,Male,Yes,49.0,Yes,Artist,0.0,Average,6.0,6.0,11.037,2.194,11.472000000000001,11.312000000000001,C
2083,Male,No,33.0,No,Healthcare,1.0,Low,4.0,6.0,1.127,10.979000000000001,11.495,10.51,C
2084,Male,Yes,53.0,Yes,Artist,6.0,Average,2.0,6.0,7.497000000000001,10.019,11.100999999999999,15.352,C
2085,Female,Yes,47.0,Yes,Artist,7.0,Average,4.0,6.0,15.993,3.498,11.933,3.927,C
2086,Male,No,31.0,No,Entertainment,1.0,Low,7.0,4.0,5.822,-0.8,14.052999999999999,-0.725,D
2087,Male,Yes,52.0,Yes,Executive,1.0,High,4.0,4.0,2.862,3.947,3.4960000000000004,0.027999999999999997,B
2089,Male,No,31.0,No,Healthcare,1.0,Low,7.0,6.0,8.849,5.505,9.058,-0.929,D
2090,Female,No,30.0,Yes,Healthcare,1.0,Low,2.0,3.0,7.595,0.035,3.929,3.8089999999999997,A
2091,Male,Yes,63.0,Yes,Entertainment,1.0,Average,2.0,6.0,16.562,11.937999999999999,10.339,3.989,C
2093,Male,No,29.0,Yes,Engineer,0.0,Low,4.0,3.0,11.564,1.22,12.311,5.937,D
2094,Female,Yes,56.0,No,Engineer,1.0,Average,5.0,6.0,7.257999999999999,-0.565,4.156000000000001,0.6,B
2095,Female,Yes,72.0,Yes,Artist,1.0,Average,3.0,6.0,2.239,2.03,1.345,3.863,B
2096,Male,Yes,88.0,No,Lawyer,1.0,Low,1.0,2.0,4.381,5.058,4.441,4.387,A
2097,Male,No,30.0,No,Engineer,1.0,Low,4.0,6.0,13.919,-1.3259999999999998,6.087000000000001,6.026,D
2099,Male,No,41.0,Yes,Artist,2.0,Low,3.0,6.0,7.185,2.968,6.745,5.655,A
2100,Female,No,31.0,Yes,Healthcare,9.0,Low,7.0,5.0,6.058,8.077,5.565,15.308,D
2101,Male,No,20.0,No,Healthcare,1.0,Low,5.0,3.0,12.445,3.214,7.817,6.189,D
2102,Female,Yes,26.0,No,Marketing,7.0,High,3.0,4.0,4.645,3.8930000000000002,4.0969999999999995,5.292000000000001,A
2104,Male,No,26.0,No,Healthcare,1.0,Low,3.0,5.0,12.091,6.712999999999999,9.917,8.963,D
2105,Male,No,20.0,No,Healthcare,1.0,Low,4.0,6.0,8.925,4.735,9.416,12.995999999999999,D
2106,Male,Yes,41.0,Yes,Artist,4.0,Low,4.0,6.0,7.305,2.146,6.307,4.024,A
2108,Male,Yes,63.0,Yes,Homemaker,1.0,Low,3.0,6.0,-1.5119999999999998,6.645,1.4980000000000002,6.191,B
2110,Female,No,39.0,Yes,Engineer,1.0,Low,3.0,6.0,2.9019999999999997,3.051,-2.375,5.9639999999999995,B
2112,Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,6.0,3.373,8.433,11.37,6.695,D
2113,Male,No,32.0,Yes,Entertainment,1.0,Low,2.0,6.0,15.513,3.8760000000000003,-0.42200000000000004,5.902,D
2114,Female,Yes,38.0,Yes,Artist,0.0,Average,3.0,6.0,4.441,4.3260000000000005,2.529,1.8319999999999999,A
2115,Female,Yes,62.0,Yes,Engineer,1.0,Low,1.0,3.0,2.99,4.544,2.021,1.966,B
2116,Male,No,18.0,No,Healthcare,1.0,Low,5.0,4.0,10.549000000000001,0.617,7.609,8.877,D
2117,Male,Yes,67.0,No,Executive,1.0,High,2.0,6.0,5.916,2.5669999999999997,16.912,2.8819999999999997,D
2119,Female,No,45.0,Yes,Engineer,0.0,Low,1.0,6.0,7.337999999999999,4.5,1.058,2.101,A
2120,Male,Yes,46.0,No,Doctor,0.0,Average,3.0,4.0,2.673,0.433,10.136000000000001,3.842,D
2122,Female,Yes,41.0,Yes,Engineer,0.0,High,3.0,6.0,8.718,4.8469999999999995,4.4639999999999995,2.146,A
2123,Female,Yes,35.0,No,Engineer,7.0,Average,4.0,4.0,3.12,1.7069999999999999,5.106,1.844,A
2124,Female,Yes,52.0,Yes,Artist,6.0,Low,2.0,6.0,6.129,4.532,5.37,4.37,A
2125,Female,Yes,63.0,Yes,Artist,1.0,Average,4.0,6.0,3.592,1.306,-0.361,-0.807,B
2126,Male,Yes,51.0,No,Executive,5.0,Low,3.0,2.0,11.270999999999999,6.397,13.095999999999998,12.094000000000001,C
2127,Female,Yes,29.0,Yes,Entertainment,0.0,Average,2.0,6.0,6.871,1.567,4.84,3.11,A
2128,Male,No,27.0,No,Doctor,0.0,Low,4.0,6.0,3.824,-4.718999999999999,-2.169,5.412999999999999,B
2129,Female,No,37.0,Yes,Doctor,1.0,Low,1.0,4.0,7.495,7.27,3.8810000000000002,4.555,A
2130,Female,Yes,29.0,No,Homemaker,1.0,Average,2.0,4.0,5.9239999999999995,9.611,-2.5610000000000004,6.507000000000001,C
2131,Female,No,50.0,Yes,Artist,0.0,Low,2.0,6.0,4.633,6.882999999999999,6.979,1.915,A
2132,Male,Yes,74.0,Yes,Lawyer,1.0,Low,1.0,6.0,7.247999999999999,3.26,4.478,4.72,A
2133,Female,Yes,72.0,Yes,Artist,3.0,Average,3.0,6.0,9.369,8.552999999999999,20.312,-2.2880000000000003,C
2135,Male,Yes,37.0,Yes,Engineer,1.0,Average,3.0,3.0,6.42,2.918,4.13,1.683,A
2136,Female,No,19.0,No,Healthcare,0.0,Low,3.0,6.0,1.8769999999999998,6.89,10.515999999999998,9.693,D
2137,Female,No,30.0,No,Artist,1.0,Low,1.0,6.0,-0.376,1.483,-0.795,0.632,B
2138,Female,No,46.0,Yes,Engineer,1.0,Low,2.0,1.0,-1.272,1.921,0.8690000000000001,4.894,B
2139,Female,Yes,65.0,Yes,Doctor,1.0,Low,2.0,6.0,0.16399999999999998,2.923,0.23199999999999998,1.338,B
2141,Male,Yes,43.0,Yes,Entertainment,0.0,Average,2.0,5.0,9.719,3.424,1.093,0.23600000000000002,A
2142,Male,Yes,50.0,Yes,Executive,9.0,High,3.0,2.0,17.496,2.927,5.482,1.722,C
2143,Male,No,35.0,Yes,Artist,8.0,Low,2.0,6.0,12.015999999999998,6.162000000000001,10.75,5.297999999999999,D
2145,Male,Yes,66.0,Yes,Executive,0.0,Low,1.0,6.0,3.265,-2.215,0.299,8.336,B
2146,Female,No,39.0,Yes,Artist,3.0,Low,2.0,6.0,14.648,14.645,12.165,13.804,C
2147,Female,Yes,46.0,Yes,Homemaker,0.0,Average,3.0,6.0,15.875,9.323,11.378,1.014,C
2148,Female,No,32.0,No,Homemaker,8.0,Low,1.0,6.0,8.738999999999999,4.862,6.917999999999999,2.385,D
2149,Female,No,40.0,Yes,Artist,6.0,Low,1.0,6.0,2.465,-4.343,1.23,5.401,B
2150,Male,Yes,88.0,Yes,Lawyer,0.0,High,3.0,6.0,14.367,8.874,17.567999999999998,2.612,C
2151,Male,No,30.0,Yes,Healthcare,8.0,Low,5.0,6.0,5.432,-6.981,3.282,3.717,D
2153,Male,Yes,43.0,No,Marketing,1.0,Low,2.0,7.0,10.068,0.9520000000000001,6.807,3.43,D
2154,Female,Yes,55.0,No,Engineer,3.0,Average,2.0,6.0,2.145,3.415,-3.3339999999999996,2.888,B
2157,Male,No,39.0,Yes,Artist,1.0,Low,1.0,6.0,11.651,9.731,16.317,14.290999999999999,C
2158,Male,No,22.0,No,Healthcare,0.0,Low,4.0,6.0,6.85,7.3420000000000005,15.662,11.939,D
2160,Female,No,31.0,No,Healthcare,0.0,Low,7.0,6.0,2.9,2.929,-1.305,4.341,B
2161,Male,No,27.0,Yes,Healthcare,1.0,Low,3.0,2.0,8.27,-2.296,-1.308,10.229,D
2163,Male,Yes,69.0,No,Doctor,0.0,Average,2.0,6.0,14.388,13.945,6.4670000000000005,7.761,C
2164,Male,Yes,37.0,No,Doctor,1.0,Average,2.0,6.0,-3.285,3.234,3.387,3.6719999999999997,B
2165,Male,Yes,45.0,Yes,Executive,0.0,High,2.0,6.0,11.465,8.41,12.9,5.263999999999999,C
2166,Female,No,22.0,No,Doctor,1.0,Low,3.0,3.0,6.084,4.569,4.007,4.747,A
2168,Male,No,39.0,Yes,Artist,1.0,Low,3.0,7.0,5.511,3.418,4.319,3.155,A
2169,Male,Yes,61.0,Yes,Entertainment,1.0,Low,2.0,5.0,10.265,6.105,4.615,0.631,A
2170,Female,Yes,74.0,No,Lawyer,1.0,High,2.0,6.0,17.425,10.096,6.062,11.599,C
2171,Male,No,29.0,Yes,Artist,4.0,Low,1.0,3.0,14.208,6.809,6.17,3.3539999999999996,D
2172,Male,No,29.0,Yes,Homemaker,5.0,Low,1.0,6.0,10.508,1.913,3.654,7.547000000000001,D
2173,Male,No,36.0,No,Executive,0.0,Low,3.0,6.0,10.362,-0.983,7.609,3.737,D
2174,Female,No,63.0,Yes,Doctor,0.0,Low,2.0,6.0,5.824,2.6860000000000004,-0.08900000000000001,8.916,B
2175,Male,Yes,69.0,Yes,Artist,0.0,Average,5.0,3.0,8.809,6.35,11.355,4.268,C
2177,Male,Yes,81.0,Yes,Lawyer,1.0,Low,1.0,6.0,4.006,2.306,6.9510000000000005,2.7319999999999998,A
2178,Female,Yes,71.0,No,Lawyer,1.0,High,2.0,6.0,-0.43799999999999994,1.2670000000000001,-1.995,6.3,B
2179,Female,No,31.0,No,Healthcare,10.0,Low,2.0,3.0,14.802999999999999,5.937,11.669,-1.146,C
2182,Female,No,52.0,Yes,Artist,6.0,Low,1.0,6.0,9.126,4.266,1.12,6.0089999999999995,A
2183,Male,No,19.0,No,Healthcare,1.0,Low,4.0,3.0,0.7909999999999999,8.324,4.476,5.114,D
2185,Male,Yes,45.0,No,Artist,0.0,Low,2.0,4.0,-0.358,-5.042,-3.443,3.2739999999999996,B
2186,Female,No,19.0,No,Marketing,1.0,Low,4.0,6.0,6.792999999999999,1.2790000000000001,2.76,8.217,D
2189,Female,Yes,84.0,Yes,Lawyer,0.0,Low,1.0,6.0,7.815,5.359,-1.4509999999999998,8.999,B
2190,Male,Yes,47.0,No,Entertainment,1.0,High,4.0,4.0,10.936,4.39,7.807,6.91,D
2191,Male,No,29.0,Yes,Entertainment,6.0,Low,3.0,6.0,8.879,3.5860000000000003,3.432,3.597,A
2192,Female,No,35.0,Yes,Artist,8.0,Low,3.0,2.0,3.92,2.9760000000000004,3.409,9.032,A
2193,Male,Yes,40.0,Yes,Artist,14.0,Low,2.0,6.0,15.837,10.353,16.491,9.888,C
2194,Male,No,35.0,No,Healthcare,1.0,Low,1.0,6.0,4.709,1.225,5.903,7.176,D
2195,Male,No,20.0,No,Healthcare,0.0,Low,3.0,2.0,7.319,10.131,9.987,10.306,D
2196,Male,No,43.0,Yes,Entertainment,0.0,Low,2.0,2.0,6.615,2.946,5.968,4.062,A
2197,Male,Yes,56.0,No,Executive,0.0,Low,1.0,6.0,7.466,5.858,6.007000000000001,14.321,D
2198,Female,Yes,53.0,Yes,Artist,3.0,Low,1.0,7.0,7.641,7.646,5.704,3.0039999999999996,A
2199,Male,Yes,22.0,No,Executive,1.0,High,3.0,6.0,13.312000000000001,1.614,7.542000000000001,5.255,D
2200,Male,Yes,32.0,No,Healthcare,1.0,High,4.0,4.0,13.967,4.897,3.4819999999999998,1.4069999999999998,D
2201,Male,Yes,51.0,No,Executive,2.0,High,5.0,6.0,3.437,5.596,3.177,2.72,A
2202,Female,No,41.0,No,Marketing,1.0,Low,3.0,3.0,4.542,1.291,4.939,8.235,D
2204,Male,Yes,55.0,Yes,Artist,4.0,Average,4.0,6.0,8.771,3.342,-0.371,1.171,A
2205,Male,No,42.0,Yes,Entertainment,3.0,Low,2.0,6.0,5.999,5.031000000000001,0.126,5.707000000000001,A
2206,Male,No,20.0,No,Healthcare,1.0,Low,5.0,4.0,8.442,3.278,7.864,6.06,D
2207,Female,No,42.0,Yes,Artist,12.0,Low,2.0,4.0,4.2330000000000005,3.051,3.82,0.593,A
2208,Female,Yes,38.0,No,Engineer,1.0,High,5.0,6.0,4.052,1.1320000000000001,-2.779,3.013,B
2209,Female,No,52.0,Yes,Engineer,3.0,Low,1.0,6.0,4.4510000000000005,1.665,5.1339999999999995,0.245,A
2210,Female,Yes,48.0,Yes,Marketing,9.0,Low,1.0,6.0,2.329,7.107,4.328,8.083,D
2211,Male,Yes,37.0,Yes,Entertainment,5.0,Average,2.0,6.0,15.732999999999999,15.747,3.958,9.275,C
2212,Male,No,27.0,No,Doctor,1.0,Low,3.0,6.0,0.389,3.165,2.782,3.512,B
2214,Female,No,25.0,Yes,Marketing,5.0,Low,2.0,4.0,9.01,4.553,5.0489999999999995,5.858,D
2215,Female,No,56.0,Yes,Doctor,3.0,Low,1.0,6.0,5.581,3.8760000000000003,6.053999999999999,4.236000000000001,A
2216,Female,Yes,68.0,No,Lawyer,1.0,Low,1.0,6.0,14.089,2.081,0.28,4.431,D
2217,Male,No,21.0,No,Healthcare,0.0,Low,4.0,6.0,7.002999999999999,9.094,1.281,14.888,D
2219,Male,No,43.0,Yes,Artist,1.0,Low,2.0,2.0,3.895,5.596,0.544,0.502,B
2221,Male,Yes,50.0,No,Executive,0.0,Average,5.0,6.0,0.066,5.269,-4.148,5.46,B
2222,Male,No,41.0,Yes,Entertainment,0.0,Low,1.0,4.0,11.870999999999999,6.6739999999999995,-1.284,11.317,D
2223,Male,Yes,40.0,Yes,Entertainment,8.0,Average,2.0,6.0,6.165,5.088,4.178,4.369,B
2224,Male,No,32.0,Yes,Healthcare,8.0,Low,2.0,4.0,4.302,3.5580000000000003,3.435,0.247,D
2225,Male,Yes,57.0,Yes,Homemaker,5.0,High,2.0,6.0,7.322,1.45,3.895,1.314,A
2226,Female,No,25.0,Yes,Artist,13.0,Low,2.0,6.0,13.455,-1.37,4.5680000000000005,5.035,C
2227,Male,Yes,74.0,No,Lawyer,0.0,High,2.0,6.0,6.185,6.181,5.827000000000001,1.828,A
2228,Male,No,38.0,Yes,Entertainment,1.0,Low,4.0,6.0,5.079,7.806,12.168,6.209,D
2229,Female,Yes,46.0,Yes,Artist,1.0,Average,2.0,6.0,10.927999999999999,4.908,12.997,6.707000000000001,C
2230,Female,No,50.0,Yes,Artist,1.0,Low,1.0,6.0,11.025,6.5920000000000005,5.791,8.597000000000001,D
2231,Male,Yes,50.0,Yes,Artist,0.0,Average,2.0,3.0,1.801,1.113,0.298,5.609,B
2233,Male,No,29.0,Yes,Artist,0.0,Low,1.0,6.0,6.775,4.361000000000001,2.676,3.1639999999999997,A
2234,Male,Yes,84.0,Yes,Lawyer,1.0,High,3.0,6.0,1.287,4.117,0.43799999999999994,2.14,B
2235,Male,Yes,73.0,No,Executive,1.0,Low,3.0,6.0,18.816,12.276,14.172,7.22,C
2238,Male,Yes,71.0,No,Lawyer,0.0,High,3.0,6.0,8.272,3.188,1.74,4.378,A
2240,Male,Yes,56.0,Yes,Artist,0.0,High,2.0,6.0,-1.5759999999999998,-2.339,3.965,2.883,B
2241,Male,No,19.0,No,Healthcare,4.0,Low,3.0,2.0,11.502,1.9240000000000002,5.537999999999999,10.511,D
2242,Male,Yes,29.0,No,Executive,12.0,Low,3.0,6.0,3.69,0.905,-0.034,4.901,B
2243,Male,No,26.0,Yes,Doctor,1.0,Low,3.0,6.0,10.936,5.01,4.798,0.439,D
2244,Female,No,31.0,No,Doctor,1.0,Low,5.0,3.0,16.808,13.687000000000001,9.391,9.815,C
2245,Male,Yes,42.0,Yes,Artist,0.0,Average,2.0,6.0,3.674,3.8,3.9989999999999997,3.377,A
2246,Female,No,33.0,Yes,Doctor,1.0,Low,1.0,6.0,3.847,4.564,7.444,4.438,B
2247,Male,Yes,35.0,No,Healthcare,1.0,Low,5.0,6.0,12.404000000000002,3.346,7.5729999999999995,4.203,D
2248,Female,Yes,46.0,No,Engineer,0.0,High,3.0,4.0,6.937,7.367000000000001,5.07,1.626,A
2250,Female,No,35.0,No,Artist,7.0,Low,2.0,6.0,9.222999999999999,11.818,13.165999999999999,8.156,D
2252,Female,No,43.0,No,Doctor,8.0,Low,1.0,4.0,8.652000000000001,4.602,11.245,10.044,D
2254,Female,Yes,73.0,Yes,Artist,0.0,Average,3.0,1.0,13.216,4.373,11.593,0.7559999999999999,C
2255,Female,No,21.0,No,Healthcare,8.0,Low,4.0,6.0,10.442,2.1109999999999998,2.736,14.040999999999999,D
2256,Female,No,32.0,No,Doctor,1.0,Low,3.0,4.0,10.055,3.448,5.607,10.652999999999999,D
2258,Male,No,43.0,Yes,Artist,13.0,Low,3.0,6.0,5.9110000000000005,4.6419999999999995,3.091,3.678,A
2259,Male,No,25.0,No,Homemaker,14.0,Low,3.0,5.0,8.431000000000001,2.215,3.8080000000000003,0.9520000000000001,A
2260,Female,No,40.0,Yes,Artist,5.0,Low,1.0,6.0,4.812,3.227,2.468,4.158,A
2262,Male,Yes,48.0,Yes,Executive,5.0,High,5.0,6.0,-0.6709999999999999,2.469,-0.5579999999999999,0.245,B
2264,Male,No,43.0,No,Healthcare,1.0,Low,3.0,6.0,8.639,-2.005,11.452,-1.732,D
2266,Male,No,23.0,No,Healthcare,9.0,Low,4.0,6.0,10.115,6.246,1.746,6.149,D
2267,Male,No,30.0,Yes,Entertainment,14.0,Low,3.0,6.0,13.244000000000002,1.415,7.06,8.488,D
2268,Male,No,30.0,Yes,Entertainment,8.0,Low,4.0,6.0,6.386,6.4079999999999995,2.123,2.537,A
2270,Male,No,28.0,Yes,Entertainment,1.0,Low,5.0,6.0,3.102,9.527000000000001,10.542,5.577000000000001,C
2271,Male,Yes,60.0,Yes,Artist,0.0,Low,2.0,4.0,7.185,6.341,1.4480000000000002,5.124,A
2272,Female,Yes,52.0,Yes,Artist,1.0,Average,2.0,6.0,6.3839999999999995,12.103,9.545,5.381,C
2273,Female,No,19.0,No,Healthcare,1.0,Low,3.0,3.0,10.163,10.067,6.478,0.312,D
2274,Female,No,19.0,No,Healthcare,1.0,Low,2.0,6.0,13.125,-0.11599999999999999,11.777000000000001,15.437999999999999,D
2275,Male,Yes,40.0,No,Executive,1.0,Low,5.0,5.0,8.097999999999999,3.7439999999999998,6.752000000000001,8.61,D
