fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
7.7,0.44,1.68,11.2,0.031,183.0,167.0,2.0,3.12,0.43,11.3,7,0.0
7.4,0.49,1.68,15.1,0.03,178.0,153.0,3.0,3.13,0.51,12.0,7,0.0
7.7,0.44,1.68,11.2,0.031,181.0,167.0,2.0,3.12,0.43,11.3,7,0.0
7.4,0.49,1.68,15.1,0.03,176.0,153.0,3.0,3.13,0.51,12.0,7,0.0
6.4,0.21,1.8,5.6,0.044,163.0,160.0,3.0,3.6,0.41,10.6,6,0.0
7.0,0.19,1.38,5.7,0.123,145.0,104.0,3.0,3.04,0.54,9.4,6,0.0
7.2,0.24,2.03,2.2,0.037,179.0,102.0,1.0,3.27,0.64,11.0,7,0.0
6.5,0.34,2.16,11.0,0.052,173.0,247.0,4.0,3.44,0.55,9.3,6,0.0
7.0,0.19,1.38,5.7,0.123,145.0,104.0,3.0,3.04,0.54,9.4,6,0.0
6.9,0.18,1.65,1.0,0.054,122.0,164.0,2.0,3.42,0.51,10.5,5,0.0
7.2,0.24,2.03,2.2,0.037,179.0,115.61731664259348,1.0,3.27,0.64,11.0,7,0.0
8.2,0.18,1.86,11.8,0.039,216.0,249.0,4.0,3.07,0.52,9.5,6,0.0
8.3,0.28,2.7,7.8,0.059,148.0,139.0,4.0,3.33,0.77,11.2,6,0.0
6.1,0.34,2.76,4.7,0.029,137.0,94.0,1.0,3.29,0.62,12.3,6,0.0
7.4,0.44,1.0,11.5,0.049,144.0,157.0,4.0,3.27,0.44,9.0,5,0.0
7.6,0.26,2.9,7.9,0.041,164.0,180.0,3.0,3.07,0.38,9.0,5,0.0
7.4,0.44,1.0,11.5,0.049,146.0,157.0,4.0,3.27,0.44,9.0,5,0.0
7.0,0.24,1.5,1.7,0.042,170.0,189.0,1.0,3.25,0.42,11.4,6,0.0
7.1,0.25,1.75,1.6,0.046,192.0,181.0,2.0,3.2,0.42,11.0,7,0.0
6.1,0.34,2.76,4.7,0.029,143.0,94.0,1.0,3.29,0.62,12.3,6,0.0
6.4,0.18,2.17,1.6,0.049,172.0,127.0,2.0,3.6,0.67,10.4,7,0.0
8.3,0.27,1.95,2.4,0.058,110.0,107.0,3.0,3.28,0.59,10.3,5,0.0
6.8,0.24,2.45,6.4,0.048,186.0,172.0,2.0,3.29,0.55,10.5,7,0.0
8.0,0.22,1.68,14.0,0.053,207.0,197.0,4.0,3.14,0.45,9.8,6,0.0
8.9,0.34,1.7,1.6,0.056,115.0,176.0,2.0,3.14,0.47,9.7,5,0.0
8.9,0.33,1.7,1.4,0.056,112.0,171.0,2.0,3.13,0.47,9.7,5,0.0
8.0,0.22,1.68,14.0,0.053,199.0,197.0,4.0,3.14,0.45,9.8,6,0.0
6.7,0.18,1.14,4.7,0.046,173.0,161.0,2.0,3.32,0.66,10.5,6,0.0
7.8,0.2,1.68,10.2,0.054,196.0,186.0,4.0,3.14,0.46,10.0,6,0.0
7.3,0.13,2.17,2.3,0.054,160.0,104.0,2.0,3.24,0.92,11.5,7,0.0
6.6,0.28,1.5,7.8,0.049,153.0,202.0,3.0,3.24,0.39,9.5,5,0.0
7.1,0.25,1.8,2.4,0.042,145.0,122.0,2.0,3.43,0.61,10.5,6,0.0
7.6,0.27,1.5,13.9,0.05,165.0,199.0,4.0,3.34,0.5,9.8,6,0.0
6.9,0.37,1.68,13.8,0.031,154.0,137.0,2.0,3.1,0.37,11.6,6,0.0
7.4,0.21,1.89,7.3,0.031,181.0,144.0,2.0,3.15,0.38,11.8,7,0.0
8.2,0.18,1.96,8.5,0.035,183.0,140.0,3.0,3.04,0.37,10.1,7,0.0
6.3,0.19,1.26,1.8,0.049,157.0,163.0,2.0,3.31,0.5,10.3,6,0.0
7.0,0.21,1.32,5.1,0.048,156.0,168.0,2.0,3.34,0.49,10.4,6,0.0
5.8,0.33,1.0,16.05,0.047,122.0,166.0,4.0,3.09,0.46,8.9,5,0.0
5.8,0.33,1.0,16.05,0.047,128.0,166.0,4.0,3.09,0.46,8.9,5,0.0
7.9,0.29,1.55,7.35,0.034,139.0,154.0,2.0,3.06,0.31,10.8,5,0.0
6.6,0.31,1.9,16.05,0.058,116.0,165.0,4.0,3.38,0.6,9.2,5,0.0
8.0,0.19,1.8,2.0,0.053,166.0,140.0,2.0,3.18,0.49,9.6,6,0.0
8.0,0.2,2.16,1.2,0.032,141.0,78.0,1.0,3.08,0.37,10.4,6,0.0
8.0,0.25,1.56,14.0,0.043,161.0,248.0,4.0,3.03,0.57,8.7,6,0.0
7.7,0.3,2.1,14.3,0.045,147.0,213.0,4.0,3.18,0.63,9.2,5,0.0
7.2,0.2,3.66,16.2,0.043,134.0,103.0,4.0,3.06,0.36,9.2,6,0.0
7.7,0.3,2.1,14.3,0.045,147.0,213.0,4.0,3.18,0.63,9.2,5,0.0
7.7,0.3,2.1,14.3,0.045,147.0,213.0,4.0,3.18,0.63,9.2,5,0.0
6.4,0.22,1.6,7.9,0.029,132.0,124.0,2.0,3.4,0.39,10.2,5,0.0
7.2,0.2,3.66,16.2,0.043,132.0,103.0,4.0,3.06,0.36,9.2,6,0.0
7.0,0.53,0.1,1.0,0.036,143.0,107.0,2.0,3.2,0.32,9.0,5,0.0
7.3,0.24,2.05,13.6,0.05,145.0,178.0,4.0,3.37,0.43,9.7,5,0.0
7.2,0.24,2.0,17.85,0.049,148.0,185.0,4.0,3.34,0.42,9.6,5,0.0
7.6,0.15,2.0,1.3,0.036,124.0,112.0,2.0,3.14,0.76,10.0,5,0.0
7.7,0.3,2.1,14.3,0.045,147.0,213.0,4.0,3.18,0.63,9.2,5,0.0
7.6,0.33,2.05,13.7,0.045,144.0,197.0,4.0,3.18,0.64,9.1,5,0.0
6.8,0.24,1.55,18.3,0.046,140.0,142.0,4.0,3.3,0.41,8.7,5,0.0
6.8,0.24,1.55,18.3,0.046,142.0,142.0,4.0,3.3,0.41,8.7,5,0.0
6.8,0.35,2.2,6.5,0.056,131.0,161.0,3.0,3.14,0.44,9.5,5,0.0
7.9,0.26,1.98,10.3,0.039,193.0,212.0,3.0,2.93,0.49,9.5,6,0.0
7.5,0.29,4.02,8.1,0.037,179.0,166.0,3.0,2.9,0.41,8.9,6,0.0
7.5,0.29,4.02,8.1,0.037,173.0,166.0,3.0,2.9,0.41,8.9,6,0.0
7.2,0.31,2.46,8.6,0.053,135.0,89.0,4.0,3.29,0.64,9.9,6,0.0
6.7,0.44,2.17,1.9,0.03,179.0,104.0,1.0,3.29,0.62,12.6,7,0.0
7.4,0.21,1.5,7.9,0.039,116.0,118.0,2.0,2.96,0.34,10.4,5,0.0
8.8,0.23,2.1,10.7,0.04,138.0,183.0,4.0,2.93,0.49,9.1,6,0.0
7.8,0.34,1.35,1.2,0.04,123.0,106.0,2.0,3.01,0.55,10.4,5,0.0
7.9,0.26,1.98,10.3,0.039,199.0,212.0,3.0,2.93,0.49,9.5,6,0.0
7.5,0.29,4.02,8.1,0.037,171.0,115.61731664259348,3.0,2.9,0.41,8.9,6,0.0
6.0,0.28,1.75,1.9,0.037,114.0,120.0,2.0,3.16,0.69,10.6,5,0.0
7.9,0.37,2.1,2.7,0.029,208.0,158.0,1.0,3.12,0.59,12.0,7,0.0
7.2,0.36,2.52,5.7,0.038,164.0,98.0,1.0,2.93,0.59,12.5,7,0.0
7.6,0.13,1.7,9.3,0.062,140.0,126.0,3.0,3.21,0.39,9.6,5,0.0
6.6,0.25,1.8,8.1,0.045,154.0,180.0,3.0,3.08,0.42,9.2,5,0.0
7.1,0.18,1.56,1.3,0.041,134.0,71.0,2.0,3.04,0.74,9.9,6,0.0
7.9,0.3,1.62,8.5,0.036,142.0,112.0,2.0,2.96,0.46,11.7,6,0.0
8.3,0.23,1.8,2.1,0.049,141.0,153.0,3.0,3.09,0.5,9.6,6,0.0
6.8,0.43,1.8,3.5,0.033,149.0,135.0,1.0,3.0,0.37,12.0,6,0.0
7.2,0.36,2.52,5.7,0.038,166.0,98.0,1.0,2.93,0.59,12.5,7,0.0
6.6,0.25,1.8,8.1,0.045,158.0,180.0,3.0,3.08,0.42,9.2,5,0.0
7.1,0.18,1.56,1.3,0.041,142.0,71.0,2.0,3.04,0.74,9.9,6,0.0
6.6,0.35,1.74,14.4,0.044,176.0,115.61731664259348,4.0,3.17,0.58,8.9,6,0.0
7.3,0.22,3.0,13.7,0.049,174.0,189.0,4.0,3.24,0.66,9.0,6,0.0
8.1,0.26,2.31,11.1,0.052,190.5,158.0,4.0,3.03,0.49,10.2,7,0.0
7.6,0.13,1.7,9.3,0.062,140.0,126.0,3.0,3.21,0.39,9.6,5,0.0
7.0,0.12,0.95,4.9,0.055,131.0,127.0,3.0,3.29,0.41,9.4,5,0.0
8.2,0.37,1.35,1.7,0.028,108.0,59.0,1.0,2.97,0.48,10.4,5,0.0
7.6,0.26,1.44,1.6,0.032,88.0,106.0,2.0,3.15,0.4,10.4,4,0.0
7.1,0.25,1.4,1.6,0.052,148.0,169.0,2.0,3.05,0.41,10.5,5,0.0
7.0,0.27,1.92,6.8,0.047,167.0,193.0,2.0,3.23,0.39,11.4,6,0.0
8.8,0.34,1.65,9.7,0.036,148.0,172.0,3.0,3.08,0.4,10.2,5,0.0
9.2,0.27,2.04,10.5,0.043,173.0,228.0,4.0,3.04,0.41,10.4,6,0.0
9.2,0.71,1.38,6.2,0.042,135.0,93.0,2.0,2.89,0.34,10.1,6,0.0
7.2,0.47,3.25,8.3,0.083,127.0,182.0,3.0,3.0,0.35,9.2,5,0.0
6.8,0.28,2.16,1.6,0.04,147.0,87.0,2.0,3.23,0.66,10.3,6,0.0
8.8,0.34,1.65,9.7,0.036,146.0,172.0,3.0,3.08,0.4,10.2,5,0.0
9.2,0.27,2.04,10.5,0.043,165.0,228.0,4.0,3.04,0.41,10.4,6,0.0
7.3,0.13,1.89,4.6,0.08,176.0,172.0,2.0,3.23,0.39,11.1,7,0.0
7.2,0.16,1.75,1.2,0.031,129.0,84.0,2.0,3.33,0.34,9.9,5,0.0
6.8,0.31,1.6,7.6,0.052,135.0,143.0,3.0,3.14,0.38,9.0,5,0.0
8.3,0.36,2.85,15.0,0.052,133.0,256.0,4.0,2.93,0.64,8.6,5,0.0
6.8,0.31,1.6,7.6,0.052,143.0,143.0,3.0,3.14,0.38,9.0,5,0.0
8.3,0.36,2.85,15.0,0.052,133.0,256.0,4.0,2.93,0.64,8.6,5,0.0
6.3,0.25,2.2,11.6,0.041,152.0,195.0,3.0,3.18,0.52,9.5,5,0.0
6.0,0.45,2.1,1.1,0.051,161.0,197.0,2.0,3.02,0.4,9.0,5,0.0
8.1,0.26,1.8,7.8,0.049,161.0,152.0,3.0,2.99,0.58,10.0,6,0.0
6.4,0.22,1.92,12.0,0.066,177.0,158.0,4.0,3.6,0.43,9.0,6,0.0
5.7,0.45,2.1,1.1,0.051,161.0,197.0,2.0,3.02,0.4,9.0,5,0.0
7.2,0.19,2.17,1.4,0.046,177.0,135.0,2.0,3.34,0.57,10.2,7,0.0
6.7,0.31,2.2,6.7,0.054,129.0,160.0,3.0,3.04,0.44,9.6,5,0.0
8.0,0.25,0.65,17.2,0.036,145.0,219.0,4.0,2.96,0.46,9.7,5,0.0
8.1,0.31,2.52,8.2,0.028,167.0,142.0,2.0,3.01,0.34,13.0,7,0.0
8.1,0.24,2.28,4.3,0.044,171.0,172.0,3.0,3.37,0.74,10.8,6,0.0
8.0,0.25,0.65,17.2,0.036,147.0,219.0,4.0,2.96,0.46,9.7,5,0.0
6.4,0.29,1.4,11.1,0.063,168.0,169.0,4.0,2.89,0.57,9.0,5,0.0
7.2,0.15,1.65,1.1,0.027,110.0,63.0,2.0,3.37,0.4,9.9,5,0.0
7.0,0.12,1.92,7.2,0.058,142.0,89.0,3.0,3.29,0.38,9.2,6,0.0
7.4,0.32,3.3,16.6,0.056,177.0,238.0,4.0,2.96,0.58,8.7,6,0.0
9.5,0.21,2.35,1.3,0.039,121.0,123.0,3.0,2.9,0.64,9.5,5,0.0
8.2,0.21,2.4,1.4,0.041,105.0,99.0,3.0,3.17,0.57,9.9,5,0.0
7.4,0.32,3.3,16.6,0.056,175.0,238.0,4.0,2.96,0.58,8.7,6,0.0
6.8,0.31,2.1,6.9,0.046,148.0,173.0,3.0,3.19,0.46,9.0,5,0.0
6.8,0.27,1.68,13.3,0.076,168.0,163.0,4.0,3.03,0.38,8.6,6,0.0
7.4,0.21,1.8,8.1,0.047,135.0,114.0,2.0,3.12,0.35,10.5,6,0.0
8.0,0.23,2.45,9.2,0.044,195.0,186.0,4.0,3.09,0.56,9.5,7,0.0
7.6,0.2,1.86,1.4,0.047,159.0,142.0,2.0,3.43,0.53,10.1,6,0.0
6.3,0.41,2.1,3.2,0.03,185.0,164.0,2.0,3.53,0.79,11.7,7,0.0
8.3,0.49,2.58,2.5,0.036,152.0,116.0,2.0,3.23,0.47,10.7,6,0.0
6.3,0.41,2.1,3.2,0.03,189.0,164.0,2.0,3.53,0.79,11.7,7,0.0
7.6,0.2,1.3,4.5,0.086,137.0,133.0,3.0,3.15,0.42,9.2,5,0.0
7.5,0.26,1.3,18.35,0.084,133.0,139.0,4.0,3.17,0.39,8.8,5,0.0
7.5,0.26,1.3,18.35,0.084,133.0,139.0,4.0,3.17,0.39,8.8,5,0.0
6.8,0.27,2.1,7.8,0.048,194.0,197.0,3.0,3.24,0.43,9.5,6,0.0
6.8,0.28,1.85,7.0,0.057,141.0,208.0,4.0,3.57,0.55,10.2,5,0.0
8.4,0.2,1.62,6.3,0.048,150.0,143.0,3.0,3.25,0.5,9.1,6,0.0
7.9,0.33,1.56,1.2,0.044,149.0,103.0,2.0,3.19,0.54,10.5,6,0.0
7.5,0.38,3.0,12.8,0.042,179.0,184.0,4.0,3.09,0.46,9.0,6,0.0
8.1,0.19,3.48,16.65,0.049,166.0,181.0,4.0,3.2,0.62,9.1,6,0.0
7.6,0.16,2.46,1.9,0.047,147.0,151.0,2.0,3.2,0.53,10.1,6,0.0
8.1,0.22,1.4,7.7,0.043,163.0,176.0,3.0,3.12,0.55,10.0,5,0.0
8.0,0.22,1.92,10.4,0.043,179.0,201.0,4.0,3.11,0.53,9.5,6,0.0
7.1,0.33,2.1,3.3,0.034,164.0,102.0,1.0,3.08,0.31,12.3,7,0.0
6.4,0.43,1.08,1.1,0.054,81.0,110.0,2.0,3.24,0.52,9.1,4,0.0
7.0,0.12,1.4,6.3,0.057,115.0,103.0,3.0,3.5,0.44,9.6,5,0.0
7.4,0.3,1.32,5.25,0.053,151.0,180.0,2.0,3.13,0.45,11.6,6,0.0
7.0,0.28,1.98,14.6,0.043,165.0,168.0,4.0,3.34,0.67,8.8,6,0.0
8.4,0.2,2.28,11.8,0.055,169.0,115.61731664259348,4.0,3.34,0.82,8.9,6,0.0
7.0,0.28,1.98,14.6,0.043,165.0,168.0,4.0,3.34,0.67,8.8,6,0.0
8.4,0.2,2.28,11.8,0.055,173.0,170.0,4.0,3.34,0.82,8.9,6,0.0
8.4,0.2,2.28,11.8,0.055,171.0,170.0,4.0,3.34,0.82,8.9,6,0.0
7.3,0.18,1.86,17.3,0.055,152.0,197.0,4.0,3.13,0.46,9.0,6,0.0
6.8,0.31,0.45,1.4,0.04,156.0,145.0,1.0,3.19,0.46,10.0,5,0.0
6.7,0.31,0.4,1.3,0.038,156.0,147.0,1.0,3.18,0.46,10.0,5,0.0
7.6,0.17,2.1,1.6,0.047,161.0,154.0,2.0,3.36,0.69,11.1,6,0.0
7.4,0.3,1.32,5.25,0.053,153.0,180.0,2.0,3.13,0.45,11.6,6,0.0
7.4,0.26,1.86,2.4,0.043,176.0,178.0,2.0,3.42,0.68,10.6,6,0.0
7.0,0.28,1.98,14.6,0.043,171.0,168.0,4.0,3.34,0.67,8.8,6,0.0
8.4,0.2,2.28,11.8,0.055,171.0,170.0,4.0,3.34,0.82,8.9,6,0.0
5.6,0.18,1.86,1.5,0.038,130.0,84.0,2.0,3.34,0.58,10.1,6,0.0
7.2,0.15,1.95,1.8,0.043,121.0,159.0,2.0,3.52,0.47,10.0,5,0.0
8.0,0.4,2.31,7.7,0.034,171.0,115.61731664259348,2.0,3.18,0.41,12.2,7,0.0
7.0,0.25,3.36,2.0,0.035,136.0,95.0,1.0,3.23,0.53,11.0,6,0.0
7.2,0.15,1.95,1.8,0.043,119.0,159.0,2.0,3.52,0.47,10.0,5,0.0
6.8,0.18,2.3,1.4,0.064,137.0,115.61731664259348,2.0,3.37,0.45,11.1,5,0.0
6.6,0.32,1.32,16.7,0.046,154.0,133.0,4.0,3.22,0.67,10.4,6,0.0
9.0,0.3391686330029889,1.5,8.1,0.026,116.0,71.0,2.0,2.94,0.36,11.8,5,0.0
6.3,0.41,2.31,4.7,0.023,172.0,110.0,1.0,3.3,0.38,12.5,7,0.0
9.0,0.55,1.5,8.1,0.026,112.0,71.0,2.0,2.94,0.36,11.8,5,0.0
7.0,0.2,2.38,2.1,0.049,148.0,136.0,1.0,3.25,0.46,11.6,7,0.0
6.6,0.32,1.32,16.7,0.046,160.0,133.0,4.0,3.22,0.67,10.4,6,0.0
7.7,0.26,2.04,6.4,0.05,156.0,163.0,2.0,3.19,0.7,11.5,6,0.0
6.3,0.21,1.68,1.5,0.051,166.0,142.0,2.0,3.23,0.42,10.1,6,0.0
7.6,0.34,2.34,7.6,0.04,165.0,215.0,3.0,3.11,0.53,9.2,6,0.0
6.3,0.21,1.68,1.5,0.051,170.0,142.0,2.0,3.23,0.42,10.1,6,0.0
8.0,0.43,2.0,12.4,0.168,121.0,190.0,4.0,3.07,0.64,9.2,5,0.0
7.5,0.3,3.55,1.3,0.16,148.0,149.0,2.0,3.08,0.42,8.9,5,0.0
6.4,0.26,2.0,1.7,0.179,105.0,60.0,2.0,3.09,0.54,10.1,5,0.0
6.9,0.32,0.75,8.1,0.046,149.0,180.0,3.0,3.13,0.45,8.9,5,0.0
8.9,0.21,2.04,7.1,0.037,155.0,150.0,3.0,3.1,0.45,9.7,6,0.0
7.6,0.34,2.34,7.6,0.04,171.0,215.0,3.0,3.11,0.53,9.2,6,0.0
9.5,0.42,2.46,2.3,0.034,138.0,145.0,3.0,3.06,0.52,11.0,6,0.0
7.6,0.29,1.3,6.5,0.042,132.0,160.0,2.0,3.14,0.47,10.7,5,0.0
6.5,0.25,1.2,1.4,0.024,149.0,101.0,1.0,3.24,0.54,10.8,6,0.0
7.2,0.23,1.65,12.7,0.049,154.0,183.0,4.0,3.41,0.4,9.8,5,0.0
7.9,0.35,1.8,1.6,0.038,109.0,124.0,2.0,3.25,0.48,11.0,5,0.0
8.8,0.2,1.4,1.1,0.018,118.0,72.0,2.0,2.97,0.35,10.4,5,0.0
5.7,0.27,1.92,1.2,0.046,144.0,155.0,2.0,3.8,0.41,10.2,6,0.0
7.6,0.29,1.3,6.5,0.042,130.0,160.0,2.0,3.14,0.47,10.7,5,0.0
5.5,0.14,1.35,4.6,0.029,122.0,104.0,3.0,3.34,0.44,9.0,5,0.0
8.7,0.24,1.75,0.6,0.042,107.0,71.0,2.0,3.08,0.38,10.6,5,0.0
6.7,0.3391686330029889,2.7,10.6,0.032,172.0,212.0,4.0,3.22,0.59,9.5,6,0.0
5.5,0.14,1.35,4.6,0.029,124.0,104.0,3.0,3.34,0.44,9.0,5,0.0
5.6,0.13,1.62,4.8,0.028,146.0,104.0,2.0,3.34,0.45,9.2,6,0.0
7.4,0.18,2.04,2.7,0.03,146.0,107.0,1.0,2.97,0.53,11.0,6,0.0
5.7,0.385,0.24,12.6,0.034,142.0,115.0,3.0,3.28,0.63,9.9,6,0.0
8.7,0.24,1.75,0.6,0.042,109.0,71.0,2.0,3.08,0.38,10.6,5,0.0
8.3,0.33,2.15,9.2,0.046,126.0,115.61731664259348,4.0,3.38,0.47,9.3,5,0.0
6.8,0.34,2.2,6.6,0.052,126.0,156.0,3.0,3.14,0.41,9.6,5,0.0
6.8,0.33,2.2,7.0,0.05,131.0,155.0,3.0,3.14,0.42,9.5,5,0.0
6.3,0.28,1.68,8.45,0.031,172.0,172.0,3.0,3.39,0.57,9.7,7,0.0
6.8,0.21,1.35,18.15,0.042,139.0,146.0,4.0,3.3,0.36,8.7,5,0.0
6.8,0.21,1.35,18.15,0.042,143.0,146.0,4.0,3.3,0.36,8.7,5,0.0
8.6,0.485,1.45,4.1,0.026,119.0,101.0,1.0,3.01,0.38,12.4,5,0.0
8.6,0.485,1.45,4.1,0.026,117.0,101.0,1.0,3.01,0.38,12.4,5,0.0
7.3,0.29,1.74,4.6,0.029,145.0,155.0,2.0,3.07,0.26,10.6,6,0.0
6.8,0.21,1.35,18.15,0.042,145.0,146.0,4.0,3.3,0.36,8.7,5,0.0
6.7,0.31,2.17,4.9,0.031,162.0,151.0,2.0,3.36,0.82,12.0,7,0.0
7.3,0.29,1.85,8.3,0.044,143.0,227.0,3.0,3.12,0.47,9.0,5,0.0
5.7,0.46,2.3,1.4,0.04,129.0,169.0,2.0,3.13,0.47,8.8,5,0.0
6.8,0.28,2.2,11.5,0.04,160.0,223.0,3.0,3.22,0.56,9.5,5,0.0
6.7,0.23,1.98,1.8,0.036,141.0,115.61731664259348,2.0,3.32,0.4,10.8,6,0.0
6.9,0.17,1.25,1.6,0.047,136.0,132.0,1.0,3.16,0.48,11.4,5,0.0
7.6,0.18,1.8,2.4,0.049,136.0,123.0,3.0,3.6,0.46,10.3,5,0.0
6.6,0.22,1.68,4.9,0.042,169.0,180.0,3.0,3.3,0.75,9.5,6,0.0
7.8,0.27,1.4,1.8,0.05,123.0,115.61731664259348,2.0,3.15,0.44,9.9,5,0.0
7.7,0.28,1.45,4.3,0.051,123.0,142.0,2.0,3.16,0.39,10.2,5,0.0
7.6,0.29,1.45,4.4,0.051,122.0,146.0,2.0,3.16,0.39,10.2,5,0.0
5.7,0.32,1.08,1.4,0.029,146.0,104.0,1.0,3.44,0.37,11.0,6,0.0
7.1,0.33,1.75,1.6,0.03,159.0,126.0,1.0,3.22,0.34,12.1,7,0.0
7.3,0.34,1.8,1.3,0.057,147.0,173.0,2.0,3.26,0.51,9.1,6,0.0
6.5,0.19,1.56,5.2,0.04,153.0,140.0,3.0,3.26,0.68,9.5,6,0.0
6.6,0.23,1.35,5.6,0.043,147.0,164.0,3.0,3.27,0.76,9.5,5,0.0
6.6,0.27,1.45,5.3,0.045,159.0,189.0,3.0,3.31,0.79,9.8,5,0.0
6.6,0.22,1.68,4.9,0.042,169.0,180.0,3.0,3.3,0.75,9.5,6,0.0
7.6,0.18,1.8,2.4,0.049,136.0,123.0,3.0,3.6,0.46,10.3,5,0.0
6.8,0.36,1.6,1.6,0.039,112.0,124.0,2.0,3.3,0.67,9.6,5,0.0
7.0,0.22,2.34,2.1,0.055,159.0,198.0,3.0,3.52,0.54,10.2,6,0.0
5.9,0.17,1.8,1.4,0.042,139.0,119.0,2.0,3.68,0.72,10.5,6,0.0
7.4,0.45,1.28,7.1,0.044,95.0,117.0,3.0,3.32,0.41,10.4,4,0.0
6.8,0.36,1.6,1.6,0.039,106.0,124.0,2.0,3.3,0.67,9.6,5,0.0
7.5,0.42,0.7,10.7,0.046,120.0,95.0,3.0,3.22,0.33,10.7,5,0.0
7.5,0.33,1.92,11.1,0.036,143.0,119.0,3.0,3.15,0.34,10.5,6,0.0
7.9,0.17,1.92,1.6,0.053,171.0,115.61731664259348,2.0,3.29,0.76,9.6,6,0.0
8.2,0.17,1.6,1.5,0.05,113.0,101.0,2.0,3.14,0.58,9.5,5,0.0
8.3,0.17,1.86,1.5,0.049,166.0,153.0,2.0,3.12,0.58,9.4,6,0.0
8.7,0.15,1.8,1.6,0.046,149.0,130.0,2.0,3.22,0.38,9.8,6,0.0
7.9,0.17,1.92,1.6,0.053,169.0,150.0,2.0,3.29,0.76,9.6,6,0.0
7.2,0.25,0.95,8.0,0.044,151.0,115.61731664259348,3.0,3.16,0.44,9.2,5,0.0
7.2,0.24,0.95,7.7,0.045,155.0,176.0,3.0,3.17,0.38,9.5,5,0.0
5.3,0.76,0.15,2.7,0.043,127.0,115.61731664259348,2.0,3.34,0.38,9.2,5,0.0
6.6,0.22,2.65,15.1,0.052,118.0,136.0,4.0,2.94,0.35,9.4,5,0.0
6.6,0.22,2.65,15.1,0.052,126.0,136.0,4.0,2.94,0.35,9.4,5,0.0
8.4,0.28,2.0,8.9,0.048,135.0,146.0,4.0,3.4,0.46,9.3,5,0.0
6.8,0.32,1.7,6.0,0.05,107.0,129.0,3.0,3.19,0.4,9.1,5,0.0
6.7,0.24,1.65,12.3,0.046,133.0,145.0,4.0,3.36,0.4,9.5,5,0.0
7.4,0.18,2.16,13.1,0.056,194.0,163.0,4.0,3.42,0.35,9.1,6,0.0
6.0,0.16,1.5,6.7,0.043,143.0,153.0,3.0,3.63,0.46,10.6,5,0.0
6.7,0.24,1.65,12.3,0.046,131.0,145.0,4.0,3.36,0.4,9.5,5,0.0
6.8,0.28,2.1,2.3,0.042,134.0,85.0,1.0,3.19,0.56,12.4,6,0.0
6.0,0.27,0.75,1.5,0.056,139.0,128.0,2.0,3.12,0.45,8.8,5,0.0
6.0,0.16,1.5,6.7,0.043,145.0,153.0,3.0,3.63,0.46,10.6,5,0.0
6.8,0.32,1.7,6.0,0.05,109.0,129.0,3.0,3.19,0.4,9.1,5,0.0
8.5,0.24,2.35,15.2,0.057,140.0,234.0,4.0,3.02,0.66,9.0,5,0.0
8.1,0.24,1.98,10.2,0.048,172.0,141.0,4.0,3.16,0.48,10.3,6,0.0
7.4,0.18,2.16,13.1,0.056,184.0,163.0,4.0,3.42,0.35,9.1,6,0.0
7.7,0.23,1.86,10.7,0.038,173.0,186.0,3.0,3.2353386767248153,0.55,9.5,6,0.0
6.5,0.22,1.25,17.1,0.05,146.0,138.0,4.0,3.3,0.37,8.8,5,0.0
6.5,0.22,1.25,17.1,0.05,148.0,138.0,4.0,3.3,0.37,8.8,5,0.0
6.5,0.22,1.25,17.1,0.05,146.0,138.0,4.0,3.3,0.37,8.8,5,0.0
5.7,0.33,0.75,1.9,0.05,122.0,93.0,2.0,3.38,0.62,9.9,5,0.0
7.7,0.23,1.86,10.7,0.038,181.0,186.0,3.0,3.12,0.55,9.5,6,0.0
6.5,0.22,1.25,17.1,0.05,142.0,138.0,4.0,3.3,0.37,8.8,5,0.0
6.8,0.2,1.08,1.2,0.034,103.0,68.0,1.0,3.14,0.37,11.7,4,0.0
7.7,0.26,1.6,1.2,0.04,120.0,117.0,2.0,3.21,0.56,10.8,5,0.0
6.4,0.2,1.92,3.1,0.041,140.0,126.0,1.0,3.43,0.42,12.0,6,0.0
8.0,0.16,1.44,1.5,0.033,94.0,122.0,2.0,3.2,0.39,10.3,4,0.0
6.8,0.25,1.35,10.7,0.076,145.0,154.0,3.0,3.05,0.38,9.0,5,0.0
7.7,0.39,1.96,4.9,0.035,182.0,109.0,1.0,3.19,0.58,12.2,7,0.0
6.9,0.26,1.65,12.6,0.051,161.0,173.0,4.0,3.39,0.38,9.9,5,0.0
6.8,0.25,1.35,10.7,0.076,151.0,154.0,3.0,3.05,0.38,9.0,5,0.0
7.7,0.39,1.96,4.9,0.035,176.0,109.0,1.0,3.19,0.58,12.2,7,0.0
6.0,0.28,1.1,12.15,0.048,142.0,163.0,3.0,3.2,0.46,10.1,5,0.0
6.5,0.43,1.4,12.0,0.056,123.0,174.0,4.0,3.31,0.55,9.3,5,0.0
5.9,0.5,0.3,2.6,0.054,160.0,146.0,2.0,3.43,0.5,9.2,6,0.0
6.8,0.28,1.95,1.4,0.036,119.0,115.0,1.0,3.27,0.72,11.7,5,0.0
7.0,0.35,1.2,1.9,0.04,117.0,144.0,1.0,3.35,0.38,11.0,5,0.0
