sample,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
1722,7.5,0.4,6,19.5,0.041,153,148,very high,3.24,0.38,12,6,white
1723,6.5,0.18,2.72,1.6,0.04,209,148,low,3.32,0.59,11.5,8,white
1724,7,0.13,1.8,5,0.056,155,122,medium,3.47,0.42,10.5,6,white
1725,6.9,0.17,1.32,4.6,0.064,177,152,high,3.29,0.37,9.3,6,white
1726,7,0.3,1.92,6.4,0.034,142,97,medium,3.23,0.44,11.8,6,white
1727,7.6,0.445,2.64,14.5,0.045,180,,very high,3.48,0.36,10,6,white
1728,6.8,0.3,1.2,6.6,0.123,137,116,high,3.07,0.48,9.4,5,white
1729,7.5,0.22,1.98,6.7,0.036,161,138,medium,3.2,0.68,11.4,6,white
1730,9.2,0.23,1.8,1.1,0.031,160,99,medium,2.94,0.3,10.4,6,white
1731,8.7,0.34,2.76,13.8,0.055,186,198,very high,3.36,0.37,9.5,6,white
1732,6.6,0.545,0.2,2.5,0.031,144,111,low,3.14,0.32,11.9,5,white
1733,8.1,0.3,1.86,1.1,0.041,167,123,low,2.99,0.45,11.1,6,white
1734,6.9,0.16,1.8,9.6,0.057,174,185,very high,3.39,0.38,9.6,6,white
1735,8,0.32,2.16,4.6,0.042,172,178,medium,3.29,0.47,12,6,white
1736,6.1,0.22,1.15,3.1,0.052,121,104,medium,3.14,0.42,8.7,5,white
1737,6.9,0.16,1.8,9.6,0.057,170,185,very high,3.39,0.38,9.6,6,white
1738,7.5,0.15,1.9,1.8,0.054,113,101,medium,3.24,0.44,10,5,white
1739,8.4,0.29,1.16,1.05,0.032,92,55,low,2.91,0.32,11.4,4,white
1740,6.6,0.37,2.82,6.5,0.061,143,150,high,3.14,0.45,9.6,6,white
1741,7.7,0.38,2.4,2,0.038,150,152,low,3.18,0.32,12.9,6,white
1742,6.3,0.25,1.38,14.9,0.039,171,142,very high,3.14,0.35,9.7,6,white
1743,8.3,0.3,2.16,10,0.042,153,169,very high,3.23,0.51,9.3,6,white
1744,6.6,0.22,2.9,1.1,0.133,154,136,medium,3.1,0.3,9.1,5,white
1745,6.1,0.34,1.55,12,0.053,150,238,very high,3.16,0.48,8.6,5,white
1746,7.5,0.22,1.45,4.8,0.05,137,87,medium,3.14,0.42,9.9,5,white
1747,8.3,0.3,2.16,10,0.042,157,169,very high,3.23,0.51,9.3,6,
1748,8,0.27,1.2,1.2,0.044,122,102,medium,3.28,0.42,10.9,5,white
1749,6.1,0.17,1.62,1.5,0.056,167,,medium,3.2,0.43,10.2,6,white
1750,7.4,0.18,1.8,10.4,0.045,166,174,high,3.11,0.57,9.7,6,white
1751,6.7,0.16,1.96,2.5,0.046,176,153,low,3.38,0.51,11.4,7,white
1752,6.1,0.255,2.64,12.3,0.045,173,197,high,3.24,0.54,9.5,6,white
1753,7.4,0.23,1.75,1.4,0.049,189,141,medium,3.42,0.54,10.2,7,white
1754,6.4,0.16,1.68,2.2,0.042,155,93,low,3.31,0.43,11.1,6,white
1755,6.3,0.25,1.38,14.9,0.039,167,142,very high,3.14,0.35,9.7,6,white
1756,6.7,0.27,1.25,8,0.053,154,202,high,3.22,0.43,9.3,5,white
1757,6.9,0.29,1.15,8.6,0.056,152,215,high,3.17,0.44,8.8,5,white
1758,9.6,0.21,1.4,1.2,0.038,112,53,medium,2.8,0.46,10.6,5,
1759,6.6,0.62,1,8.7,0.046,183,224,high,3.17,0.44,9.3,5,white
1760,6.4,0.28,1.14,5.4,0.042,181,181,medium,3.31,0.35,10.2,6,white
1761,8,0.3,1.68,5.7,0.044,155,124,medium,,0.51,10.2,6,white
1762,6.4,0.17,1.89,1.5,0.037,160,98,low,3.46,0.42,11,7,white
1763,7.3,0.21,1.8,10.9,0.037,136,112,very high,3.4,0.5,9.6,6,white
1764,6.7,0.27,1.25,8,0.053,152,202,high,3.22,0.43,9.3,5,white
1765,6.9,0.29,1.15,8.6,0.056,160,215,high,3.17,0.44,8.8,5,white
1766,6.6,0.32,1.3,7.7,0.054,158,209,high,3.17,0.45,8.8,5,white
1767,7.4,0.32,1.1,1.7,0.051,146,179,high,3.28,0.69,8.9,5,white
1768,6.6,0.37,0.35,1.4,0.048,154,144,low,3.17,0.38,10,5,white
1769,7.7,0.43,1.96,4.5,0.046,173,102,low,3.16,0.56,12.2,7,white
1770,7.8,0.39,1.56,9.9,0.059,155,181,high,3.04,0.42,10.9,6,white
1771,6.5,0.18,1.56,1.4,0.041,164,141,medium,3.34,0.72,9.5,6,white
1772,7.8,0.4,1.56,9.5,0.059,152,178,high,3.04,0.43,10.9,6,white
1773,7.8,0.39,1.56,9.9,0.059,157,181,high,3.04,0.42,10.9,6,white
1774,6.9,0.19,1.68,3,0.054,153,99,medium,3.16,0.4,10.8,6,white
1775,7.7,0.49,6,19.6,0.03,148,135,very high,3.24,0.4,12,6,white
1776,6.6,0.25,1.75,14,0.069,146,163,very high,3.56,0.47,9.8,5,white
1777,6.5,0.18,1.56,1.4,0.041,160,141,medium,3.34,0.72,9.5,6,white
1778,6.4,0.15,2.88,1.8,0.034,203,150,low,3.42,0.69,11,8,white
1779,6.4,0.15,2.88,1.8,0.034,203,150,low,3.42,0.69,11,8,white
1780,8.4,0.17,1.55,5.4,0.052,147,150,high,3.24,0.38,9.8,5,white
1781,6.1,0.32,1.48,1.8,0.051,95,200,medium,3.49,0.44,10.5,4,white
1782,8.5,0.21,1.56,9.25,0.034,193,142,medium,3.05,0.37,11.4,6,white
1783,8.7,0.45,2.4,1.5,0.067,141,100,high,3.27,0.57,10.1,6,
1784,6.7,0.24,2.03,6.8,0.038,192,127,medium,3.33,0.46,11.6,7,white
1785,8.5,0.21,1.56,9.25,0.034,193,142,medium,3.05,0.37,11.4,6,white
1786,7.4,0.33,1.82,2.6,0.04,167,115,low,3.07,0.52,11.8,7,white
1787,7.2,0.26,2.1,2.1,0.033,192,158,low,3.33,0.43,12.1,7,white
1788,8.2,0.36,1.45,7.6,0.035,141,122,medium,3.16,0.34,12,5,white
1789,7.8,0.2,1.68,1.6,0.026,172,189,low,3.08,0.74,12.1,7,white
1790,9.4,0.16,1.5,1.4,0.042,128,176,high,3.15,0.46,9.1,5,white
1791,6.4,0.33,1.2,1.6,0.054,133,117,medium,3.36,0.5,9.3,5,white
1792,7.8,0.22,2.16,1.4,0.056,139,153,medium,,0.53,10.4,6,white
1793,7.4,0.35,1.55,17.95,0.062,142,187,very high,3.27,0.64,9.1,5,white
1794,6.6,0.37,1.2,2,0.064,121,120,medium,3.32,0.54,9.4,5,white
1795,6.7,0.37,2.46,6.3,0.061,138,,high,3.16,0.47,9.6,6,white
1796,7.1,0.37,1.6,1.4,0.037,125,126,low,3.19,0.62,12,5,white
1797,6.9,0.25,2.16,9.05,0.039,199,128,medium,3.27,0.34,11.3,8,white
1798,6.8,0.23,1.74,15.4,0.073,178,173,very high,3.06,0.41,8.7,6,white
1799,6.4,0.26,1.26,7.1,0.04,155,162,high,3.39,0.58,9.9,6,white
1800,7.6,0.3,1.32,10.2,0.049,177,191,high,3.08,0.4,9.3,6,white
1801,9.4,0.16,1.15,1.6,0.042,112,67,,3.07,0.32,9.5,5,white
1802,6.8,0.23,1.74,15.4,0.073,182,173,very high,3.06,0.41,8.7,6,white
1803,6.4,0.26,1.26,7.1,0.04,149,162,high,3.39,0.58,9.9,6,white
1804,7.6,0.3,1.32,10.2,0.049,175,191,high,3.08,0.4,9.3,6,white
1805,7.5,0.33,1.95,12.4,0.065,127,119,very high,3.16,0.39,9.4,5,white
1806,7.6,0.38,1,3.4,0.046,105,116,medium,3.15,0.41,9.4,5,white
1807,8.8,0.2,2.58,15,0.053,172,184,very high,3.28,0.79,8.8,6,white
1808,7.5,0.33,1.95,12.4,0.065,133,119,very high,3.16,0.39,9.4,5,white
1809,8.8,0.2,2.58,15,0.053,182,184,very high,3.28,0.79,8.8,6,white
1810,6.6,0.36,1.26,1.5,0.049,157,,medium,3.18,0.41,9.9,6,white
1811,7.6,0.38,1,3.4,0.046,107,116,medium,3.15,0.41,9.4,5,white
1812,5.6,0.46,1.44,4.8,0.042,150,72,low,3.29,0.37,12.6,6,white
1813,7.2,0.15,2.28,1.2,0.038,142,110,low,3.19,0.43,11.1,6,white
1814,8.2,0.42,2.03,4.1,0.03,167,100,low,3,0.32,12.8,7,white
1815,6.8,0.3,2.1,2.8,0.038,128,164,low,3.09,0.53,12,6,white
1816,6.7,0.27,2.1,13.9,0.029,176,131,high,3.36,0.5,12,7,white
1817,7.2,0.5,0,0.8,0.034,122,114,medium,3.19,0.34,9.2,4,white
1818,6,0.26,1.74,1,0.032,147,,low,3.38,0.44,12.3,6,white
1819,6.8,0.33,1.68,1.2,0.032,156,131,low,3.19,0.41,13,6,white
1820,6.8,0.3,2.1,2.8,0.038,134,164,low,3.09,0.53,12,6,white
1821,7.4,0.29,1.55,1.7,0.035,125,110,medium,3.07,0.38,10.9,5,white
1822,8.2,0.42,2.03,4.1,0.03,169,100,low,3,0.32,12.8,7,white
1823,7.3,0.19,1.44,6.3,0.054,156,231,high,3.36,0.54,10,6,white
1824,6.5,0.32,0.6,11.5,0.033,135,165,very high,3.22,0.32,9,5,
1825,7.1,0.32,2,1.5,0.034,117,84,medium,3.42,0.6,10.4,5,white
1826,6.5,0.32,0.6,11.5,0.033,135,165,very high,3.22,0.32,9,5,white
1827,7.3,0.19,1.44,6.3,0.054,146,231,high,3.36,0.54,10,6,white
1828,7.3,0.17,1.38,6.3,0.051,157,240,high,3.36,0.54,10,6,white
1829,7.7,0.44,1.68,11.2,0.031,177,167,medium,3.12,0.43,11.3,7,white
1830,7.7,0.44,1.68,11.2,0.031,183,167,medium,3.12,0.43,11.3,7,white
1831,7.4,0.49,1.68,15.1,0.03,178,153,high,3.13,0.51,12,7,white
1832,7.7,0.44,1.68,11.2,0.031,181,167,medium,3.12,0.43,11.3,7,white
1833,7.4,0.49,1.68,15.1,0.03,176,153,high,3.13,0.51,12,7,white
1834,6.4,0.21,1.8,5.6,0.044,163,160,high,3.6,0.41,10.6,6,white
1835,8,0.55,2.1,12.6,0.211,137,213,very high,2.99,0.56,9.3,5,white
1836,7,0.19,1.38,5.7,0.123,145,104,high,3.04,0.54,9.4,6,
1837,7.2,0.24,2.03,2.2,0.037,179,102,low,3.27,0.64,11,7,white
1838,6.5,0.34,2.16,11,0.052,173,247,very high,3.44,0.55,9.3,6,white
1839,7,0.19,1.38,5.7,0.123,145,104,high,3.04,0.54,9.4,6,white
1840,6.9,0.18,1.65,1,0.054,122,164,medium,3.42,0.51,10.5,5,white
1841,7.2,0.24,2.03,2.2,0.037,179,,low,3.27,0.64,11,7,white
1842,8.2,0.18,1.86,11.8,0.039,216,249,very high,3.07,0.52,9.5,6,white
1843,8.3,0.28,2.7,7.8,0.059,148,139,very high,3.33,0.77,11.2,6,white
1844,6.1,0.34,2.76,4.7,0.029,137,94,low,3.29,0.62,12.3,6,white
1845,7.4,0.44,1,11.5,0.049,144,157,very high,3.27,0.44,9,5,white
1846,7.6,0.26,2.9,7.9,0.041,164,180,high,3.07,0.38,9,5,white
1847,7.4,0.44,1,11.5,0.049,146,157,very high,3.27,0.44,9,5,white
1848,8.7,0.49,2.85,17.8,0.052,136,243,very high,12.91,0.82,9,5,white
1849,7,0.24,1.5,1.7,0.042,170,189,low,3.25,0.42,11.4,6,white
1850,7.1,0.25,1.75,1.6,0.046,192,181,medium,3.2,0.42,11,7,white
1851,6.1,0.34,2.76,4.7,0.029,143,94,low,3.29,0.62,12.3,6,white
1852,6.4,0.18,2.17,1.6,0.049,172,127,medium,3.6,0.67,10.4,7,white
1853,8.3,0.27,1.95,2.4,0.058,110,107,high,3.28,0.59,10.3,5,white
1854,6.8,0.24,2.45,6.4,0.048,186,172,medium,3.29,0.55,10.5,7,white
1855,8,0.22,1.68,14,0.053,207,197,very high,3.14,0.45,9.8,6,white
1856,10,0.91,1.68,1.6,0.056,116,181,high,3.11,0.46,10,4,white
1857,8.9,0.34,1.7,1.6,0.056,115,176,medium,3.14,0.47,9.7,5,white
1858,8.9,0.33,1.7,1.4,0.056,112,171,medium,3.13,0.47,9.7,5,white
1859,8,0.22,1.68,14,0.053,199,197,very high,3.14,0.45,9.8,6,white
1860,6.7,0.18,1.14,4.7,0.046,173,161,medium,3.32,0.66,10.5,6,white
1861,7.8,0.2,1.68,10.2,0.054,196,186,very high,3.14,0.46,10,6,white
1862,7.3,0.13,2.17,2.3,0.054,160,104,medium,3.24,0.92,11.5,7,white
1863,6.6,0.28,1.5,7.8,0.049,153,202,high,3.24,0.39,9.5,5,white
1864,7.1,0.25,1.8,2.4,0.042,145,122,medium,3.43,0.61,10.5,6,white
1865,7.6,0.36,2.64,8.3,0.255,140,142,high,3.12,0.43,10.2,6,white
1866,7.6,0.27,1.5,13.9,0.05,165,199,very high,3.34,0.5,9.8,6,white
1867,6.9,0.37,1.68,13.8,0.031,154,137,medium,3.1,0.37,11.6,6,white
1868,7.4,0.21,1.89,7.3,0.031,181,144,medium,3.15,0.38,11.8,7,white
1869,8.2,0.18,1.96,8.5,0.035,183,140,high,3.04,0.37,10.1,7,white
1870,6.3,0.19,1.26,1.8,0.049,157,163,medium,3.31,0.5,10.3,6,white
1871,7,0.21,1.32,5.1,0.048,156,168,medium,3.34,0.49,10.4,6,white
1872,5.8,0.33,1,16.05,0.047,122,166,very high,3.09,0.46,8.9,5,white
1873,5.8,0.33,1,16.05,0.047,128,166,very high,3.09,0.46,8.9,5,
1874,7.9,0.29,1.55,7.35,0.034,139,154,medium,3.06,0.31,10.8,5,white
1875,6.6,0.31,1.9,16.05,0.058,116,165,very high,3.38,0.6,9.2,5,white
1876,8,0.19,1.8,2,0.053,166,140,medium,3.18,0.49,9.6,6,white
1877,8,0.2,2.16,1.2,0.032,141,78,low,3.08,0.37,10.4,6,white
1878,8,0.25,1.56,14,0.043,161,248,very high,3.03,0.57,8.7,6,white
1879,7.2,0.2,3.66,16.2,0.043,136,103,,3.06,0.36,9.2,6,white
1880,7.7,0.3,2.1,14.3,0.045,147,213,very high,3.18,0.63,9.2,5,white
1881,7.2,0.2,3.66,16.2,0.043,134,103,very high,3.06,0.36,9.2,6,white
1882,7.7,0.3,2.1,14.3,0.045,147,213,very high,3.18,0.63,9.2,5,white
1883,7.7,0.3,2.1,14.3,0.045,147,213,very high,3.18,0.63,9.2,5,white
1884,6.4,0.22,1.6,7.9,0.029,132,124,medium,3.4,0.39,10.2,5,white
1885,7.2,0.2,3.66,16.2,0.043,132,103,very high,3.06,0.36,9.2,6,white
1886,7,0.53,0.1,1,0.036,143,107,medium,3.2,0.32,9,5,white
1887,7.3,0.24,2.05,13.6,0.05,145,178,very high,3.37,0.43,9.7,5,white
1888,7.2,0.24,2,17.85,0.049,148,185,very high,3.34,0.42,9.6,5,white
1889,7.6,0.15,2,1.3,0.036,124,112,medium,3.14,0.76,10,5,white
1890,7.7,0.3,2.1,14.3,0.045,147,213,very high,3.18,0.63,9.2,5,white
1891,7.6,0.33,2.05,13.7,0.045,144,197,very high,3.18,0.64,9.1,5,white
1892,6.8,0.24,1.55,18.3,0.046,140,142,very high,3.3,0.41,8.7,5,white
1893,6.8,0.24,1.55,18.3,0.046,142,142,very high,3.3,0.41,8.7,5,white
1894,6.8,0.35,2.2,6.5,0.056,131,161,high,3.14,0.44,9.5,5,white
1895,7.9,0.26,1.98,10.3,0.039,193,212,high,2.93,0.49,9.5,6,white
1896,7.5,0.29,4.02,8.1,0.037,179,166,high,2.9,0.41,8.9,6,white
1897,7.5,0.29,4.02,8.1,0.037,173,166,high,2.9,0.41,8.9,6,white
1898,7.2,0.31,2.46,8.6,0.053,135,89,very high,3.29,0.64,9.9,6,white
1899,6.7,0.44,2.17,1.9,0.03,179,104,low,3.29,0.62,12.6,7,
1900,10,0.23,1.62,14.1,0.033,167,,very high,2.72,0.43,9.7,6,white
1901,7.4,0.21,1.5,7.9,0.039,116,118,medium,2.96,0.34,10.4,5,white
1902,8.8,0.23,2.1,10.7,0.04,138,183,very high,2.93,0.49,9.1,6,white
1903,7.8,0.34,1.35,1.2,0.04,123,106,medium,3.01,0.55,10.4,5,white
1904,7.9,0.26,1.98,10.3,0.039,199,212,high,2.93,0.49,9.5,6,white
1905,7.5,0.29,4.02,8.1,0.037,171,,high,2.9,0.41,8.9,6,white
1906,6,0.28,1.75,1.9,0.037,114,120,medium,3.16,0.69,10.6,5,white
1907,7.9,0.37,2.1,2.7,0.029,208,158,low,3.12,0.59,12,7,
1908,7.2,0.36,2.52,5.7,0.038,164,98,low,2.93,0.59,12.5,7,white
1909,7.6,0.13,1.7,9.3,0.062,140,126,high,3.21,0.39,9.6,5,white
1910,6.6,0.25,1.8,8.1,0.045,154,180,high,3.08,0.42,9.2,5,white
1911,7.1,0.18,1.56,1.3,0.041,134,71,medium,3.04,0.74,9.9,6,white
1912,7.9,0.3,1.62,8.5,0.036,142,112,medium,2.96,0.46,11.7,6,white
1913,8.3,0.23,1.8,2.1,0.049,141,153,high,3.09,0.5,9.6,6,white
1914,6.8,0.43,1.8,3.5,0.033,149,135,low,3,0.37,12,6,white
1915,7.2,0.36,2.52,5.7,0.038,166,98,low,2.93,0.59,12.5,7,white
1916,6.6,0.25,1.8,8.1,0.045,158,180,high,3.08,0.42,9.2,5,white
1917,7.1,0.18,1.56,1.3,0.041,142,71,medium,3.04,0.74,9.9,6,white
1918,6.6,0.35,1.74,14.4,0.044,176,,very high,3.17,0.58,8.9,6,white
1919,7.3,0.22,3,13.7,0.049,174,189,very high,3.24,0.66,9,6,white
1920,8.1,0.26,2.31,11.1,0.052,190.5,158,very high,3.03,0.49,10.2,7,white
1921,7.6,0.13,1.7,9.3,0.062,140,126,high,3.21,0.39,9.6,5,white
1922,7,0.12,0.95,4.9,0.055,131,127,high,3.29,0.41,9.4,5,white
1923,8.2,0.37,1.35,1.7,0.028,108,59,low,2.97,0.48,10.4,5,white
1924,7.6,0.26,1.44,1.6,0.032,88,106,medium,3.15,0.4,10.4,4,white
1925,6.3,0.2,3.48,1.4,0.204,133,97,medium,3.16,0.43,10,6,white
1926,6.3,0.22,3.42,1.4,0.208,136,96,medium,3.16,0.43,10,6,white
1927,7.1,0.25,1.4,1.6,0.052,148,169,medium,3.05,0.41,10.5,5,white
1928,7,0.27,1.92,6.8,0.047,167,193,medium,3.23,0.39,11.4,6,white
1929,8.8,0.34,1.65,9.7,0.036,148,172,high,3.08,0.4,10.2,5,white
1930,9.2,0.27,2.04,10.5,0.043,173,228,very high,3.04,0.41,10.4,6,white
1931,7.1,0.49,0.66,2,0.047,206.5,307.5,medium,3.24,0.37,11,3,white
1932,9.2,0.71,1.38,6.2,0.042,135,93,medium,2.89,0.34,10.1,6,white
1933,7.2,0.47,3.25,8.3,0.083,127,182,high,3,0.35,9.2,5,white
1934,6.8,0.28,2.16,1.6,0.04,147,87,medium,3.23,0.66,10.3,6,white
1935,8.8,0.34,1.65,9.7,0.036,146,172,high,3.08,0.4,10.2,5,white
1936,9.2,0.27,2.04,10.5,0.043,165,228,very high,3.04,0.41,10.4,6,white
1937,7.3,0.13,1.89,4.6,0.08,176,172,medium,3.23,0.39,11.1,7,white
1938,7.2,0.16,1.75,1.2,0.031,129,84,medium,3.33,0.34,9.9,5,white
1939,6.8,0.31,1.6,7.6,0.052,135,143,high,3.14,0.38,9,5,white
1940,8.3,0.36,2.85,15,0.052,133,256,very high,2.93,0.64,8.6,5,white
1941,6.8,0.31,1.6,7.6,0.052,143,143,high,3.14,0.38,9,5,white
1942,8.3,0.36,2.85,15,0.052,133,256,very high,2.93,0.64,8.6,5,white
1943,6.3,0.25,2.2,11.6,0.041,152,195,high,3.18,0.52,9.5,5,white
1944,6,0.45,2.1,1.1,0.051,161,197,medium,3.02,0.4,9,5,white
1945,8.1,0.26,1.8,7.8,0.049,161,152,high,2.99,0.58,10,6,white
1946,6.4,0.22,1.92,12,0.066,177,158,very high,3.6,0.43,9,6,white
1947,5.7,0.45,2.1,1.1,0.051,161,197,medium,3.02,0.4,9,5,white
1948,7.2,0.19,2.17,1.4,0.046,177,135,medium,3.34,0.57,10.2,7,white
1949,6.7,0.31,2.2,6.7,0.054,129,160,high,3.04,0.44,9.6,5,white
1950,8,0.25,0.65,17.2,0.036,145,219,very high,2.96,0.46,9.7,5,white
1951,9.9,1.005,1.84,1.4,0.046,114,185,high,3.02,0.49,10.2,4,white
1952,8.1,0.31,2.52,8.2,0.028,167,142,medium,3.01,0.34,13,7,white
1953,8.1,0.24,2.28,4.3,0.044,171,172,high,3.37,0.74,10.8,6,white
1954,8,0.25,0.65,17.2,0.036,147,219,very high,2.96,0.46,9.7,5,white
1955,6.4,0.29,1.4,11.1,0.063,168,169,very high,2.89,0.57,9,5,white
1956,7.2,0.15,1.65,1.1,0.027,110,63,medium,3.37,0.4,9.9,5,white
1957,7,0.12,1.92,7.2,0.058,142,89,high,3.29,0.38,9.2,6,white
1958,7.4,0.32,3.3,16.6,0.056,177,238,very high,2.96,0.58,8.7,6,white
1959,8.5,0.17,1.55,1,0.024,109,91,medium,2.79,0.37,10.1,5,white
1960,8.5,0.17,1.55,1,0.024,117,91,medium,2.79,0.37,10.1,5,white
1961,9.5,0.21,2.35,1.3,0.039,121,123,high,2.9,0.64,9.5,5,white
1962,8.2,0.21,2.4,1.4,0.041,105,99,high,3.17,0.57,9.9,5,white
1963,7.4,0.32,3.3,16.6,0.056,175,238,very high,2.96,0.58,8.7,6,white
1964,6.8,0.31,2.1,6.9,0.046,148,173,high,3.19,0.46,9,5,
1965,6.8,0.27,1.68,13.3,0.076,168,163,very high,3.03,0.38,8.6,6,white
1966,7.4,0.21,1.8,8.1,0.047,135,114,medium,3.12,0.35,10.5,6,white
1967,8,0.23,2.45,9.2,0.044,195,186,very high,3.09,0.56,9.5,7,white
1968,7.6,0.2,1.86,1.4,0.047,159,142,medium,3.43,0.53,10.1,6,white
1969,6.3,0.41,2.1,3.2,0.03,185,164,medium,3.53,0.79,11.7,7,white
1970,8.3,0.49,2.58,2.5,0.036,152,116,medium,3.23,0.47,10.7,6,white
1971,6.3,0.41,2.1,3.2,0.03,189,164,medium,3.53,0.79,11.7,7,white
1972,7.6,0.2,1.3,4.5,0.086,137,133,high,3.15,0.42,9.2,5,white
1973,7.5,0.26,1.3,18.35,0.084,133,139,very high,3.17,0.39,8.8,5,white
1974,7.5,0.26,1.3,18.35,0.084,133,139,very high,3.17,0.39,8.8,5,white
1975,6.8,0.27,2.1,7.8,0.048,194,197,high,3.24,0.43,9.5,6,white
1976,6.8,0.28,1.85,7,0.057,141,208,very high,3.57,0.55,10.2,5,white
1977,8.4,0.2,1.62,6.3,0.048,150,143,high,3.25,0.5,9.1,6,white
1978,7.9,0.33,1.56,1.2,0.044,149,103,medium,3.19,0.54,10.5,6,white
1979,7.5,0.38,3,12.8,0.042,179,184,very high,3.09,0.46,9,6,white
1980,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,0.46,8.9,8,white
1981,7.6,0.2,2.4,14.2,0.056,213,212.5,very high,3.14,0.46,8.9,8,white
1982,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,0.46,8.9,8,white
1983,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,0.46,8.9,8,white
1984,7.6,0.2,2.4,14.2,0.056,213,212.5,very high,3.14,0.46,8.9,8,white
1985,8.1,0.19,3.48,16.65,0.049,166,181,very high,3.2,0.62,9.1,6,white
1986,7.6,0.16,2.46,1.9,0.047,147,151,medium,3.2,0.53,10.1,6,white
1987,8.1,0.22,1.4,7.7,0.043,163,176,high,3.12,0.55,10,5,white
1988,8,0.22,1.92,10.4,0.043,179,201,very high,3.11,0.53,9.5,6,white
1989,7.1,0.33,2.1,3.3,0.034,164,102,low,3.08,0.31,12.3,7,white
1990,6.4,0.43,1.08,1.1,0.054,81,110,medium,3.24,0.52,9.1,4,white
1991,7.6,0.2,2.4,14.2,0.056,215,212.5,very high,3.14,0.46,8.9,8,white
1992,7,0.12,1.4,6.3,0.057,115,103,high,3.5,0.44,9.6,5,white
1993,7.4,0.3,1.32,5.25,0.053,151,180,medium,3.13,0.45,11.6,6,white
1994,7,0.28,1.98,14.6,0.043,165,168,very high,3.34,0.67,8.8,6,white
1995,8.4,0.2,2.28,11.8,0.055,169,,very high,3.34,0.82,8.9,6,white
1996,7,0.28,1.98,14.6,0.043,165,168,very high,3.34,0.67,8.8,6,white
1997,8.4,0.2,2.28,11.8,0.055,173,170,very high,3.34,0.82,8.9,6,white
1998,8.4,0.2,2.28,11.8,0.055,171,170,very high,3.34,0.82,8.9,6,white
1999,7.3,0.18,1.86,17.3,0.055,152,197,very high,3.13,0.46,9,6,white
2000,6.8,0.31,0.45,1.4,0.04,156,145,low,3.19,0.46,10,5,white
2001,6.7,0.31,0.4,1.3,0.038,156,147,low,3.18,0.46,10,5,white
2002,7.6,0.17,2.1,1.6,0.047,161,154,medium,3.36,0.69,11.1,6,white
2003,7.4,0.3,1.32,5.25,0.053,153,180,medium,3.13,0.45,11.6,6,white
2004,7.4,0.26,1.86,2.4,0.043,176,178,medium,3.42,0.68,10.6,6,white
2005,7,0.28,1.98,14.6,0.043,171,168,very high,3.34,0.67,8.8,6,white
2006,8.4,0.2,2.28,11.8,0.055,171,170,very high,3.34,0.82,8.9,6,white
2007,5.6,0.18,1.86,1.5,0.038,130,84,medium,3.34,0.58,10.1,6,white
2008,7.2,0.15,1.95,1.8,0.043,121,159,medium,3.52,0.47,10,5,white
2009,8,0.4,2.31,7.7,0.034,171,,medium,3.18,0.41,12.2,7,white
2010,7,0.25,3.36,2,0.035,136,95,low,3.23,0.53,11,6,white
2011,7.2,0.15,1.95,1.8,0.043,119,159,medium,3.52,0.47,10,5,white
2012,6.8,0.18,2.3,1.4,0.064,137,,medium,3.37,0.45,11.1,5,white
2013,6.6,0.32,1.32,16.7,0.046,154,133,very high,3.22,0.67,10.4,6,white
2014,9,,1.5,8.1,0.026,116,71,medium,2.94,0.36,11.8,5,white
2015,6.9,0.19,2.34,8,0.028,140,,,3.11,0.66,10.8,6,white
2016,6.3,0.41,2.31,4.7,0.023,172,110,low,3.3,0.38,12.5,7,white
2017,9,0.55,1.5,8.1,0.026,112,71,medium,2.94,0.36,11.8,5,white
2018,7,0.2,2.38,2.1,0.049,148,136,low,3.25,0.46,11.6,7,white
2019,6.6,0.32,1.32,16.7,0.046,160,133,very high,3.22,0.67,10.4,6,white
2020,7.7,0.26,2.04,6.4,0.05,156,163,medium,3.19,0.7,11.5,6,white
2021,6.3,0.21,1.68,1.5,0.051,166,142,medium,3.23,0.42,10.1,6,white
2022,7.6,0.34,2.34,7.6,0.04,165,215,high,3.11,0.53,9.2,6,white
2023,6.3,0.21,1.68,1.5,0.051,170,142,medium,3.23,0.42,10.1,6,white
2024,8,0.43,2,12.4,0.168,121,190,very high,3.07,0.64,9.2,5,white
2025,7.5,0.3,3.55,1.3,0.16,148,149,medium,3.08,0.42,8.9,5,white
2026,6.4,0.26,2,1.7,0.179,105,60,medium,3.09,0.54,10.1,5,white
2027,6.9,0.32,0.75,8.1,0.046,149,180,high,3.13,0.45,8.9,5,white
2028,8.9,0.21,2.04,7.1,0.037,155,150,high,3.1,0.45,9.7,6,white
2029,7.6,0.34,2.34,7.6,0.04,171,215,high,3.11,0.53,9.2,6,white
2030,9.5,0.42,2.46,2.3,0.034,138,145,high,3.06,0.52,11,6,white
2031,7.6,0.29,1.3,6.5,0.042,132,160,medium,3.14,0.47,10.7,5,white
2032,6.5,0.25,1.2,1.4,0.024,149,101,low,3.24,0.54,10.8,6,white
2033,7.2,0.23,1.65,12.7,0.049,154,183,very high,3.41,0.4,9.8,5,white
